id,posnum,seglen_hor,seglen_ver,segdist_hor,segdist_ver,segdeg_hor,segdeg_ver,cross_deg,dist_hor,dist_ver
0,1,0.084489845,0.75521374,0.20792784,0.020103775,0.18316981,1.5522394,1.3690696,0.07065034,0.0432261
1,1,0.06234962,0.75521374,0.040181454,0.04789141,0.10292626,1.5522394,1.4493132,0.07133782,0.015443257
2,0,0.051502082,0.91006833,0.011924058,0.017391853,0.08934192,1.56924,1.4798981,0.090162426,0.022596644
3,1,0.533846,0.75521374,0.23898977,0.015097305,0.056460764,1.5522394,1.4957787,0.07052642,0.04823171
4,0,0.533846,0.91006833,0.067794286,0.027334848,0.056460764,1.56924,1.515892,0.09018307,0.012653658
5,1,0.049677514,0.75521374,0.056232978,0.02954684,0.15708947,1.5522394,1.39515,0.07088393,0.03378466
6,0,0.10305936,0.91006833,0.09116242,0.004756231,0.15332131,1.56924,1.4190315,0.09013621,0.03523225
7,0,0.1378441,0.91006833,0.014254775,0.008023465,0.023433905,1.56924,1.545806,0.090142995,0.03196502
8,1,0.5914425,0.75521374,0.09419392,0.011614244,0.03864301,1.5522394,1.5135964,0.07044035,0.05171417
9,0,0.5914425,0.91006833,0.15439786,0.0126143545,0.03864301,1.56924,1.5337098,0.0901525,0.027374137
10,1,0.083295785,0.75521374,0.009530093,0.0067513385,0.16423368,1.5522394,1.3880057,0.07031995,0.05657624
11,1,0.058155738,0.75521374,0.17919461,0.0111044925,0.10127804,1.5522394,1.4509614,0.070427656,0.052223835
12,1,0.044444446,0.75521374,0.10023953,0.029045703,0.0,1.5522394,1.5522394,0.07087159,0.034285713
13,1,0.104346454,0.75521374,0.006118373,0.023310902,0.06906385,1.5522394,1.4831755,0.07072961,0.040019527
14,0,0.053500954,0.91006833,0.11904977,0.041856535,0.057767786,1.56924,1.5114722,0.09003949,0.081844956
15,1,0.20223229,0.75521374,0.021400034,0.014953925,0.017321888,1.5522394,1.5349175,0.06978291,0.07827777
16,1,0.062374517,0.75521374,0.45580545,0.034959618,0.057152357,1.5522394,1.495087,0.069288075,0.09828002
17,0,0.062374517,0.91006833,0.32382652,0.022219224,0.057152357,1.56924,1.5152004,0.090080224,0.062207673
18,0,0.09110834,0.91006833,0.22997172,0.041778382,0.0077820183,1.56924,1.561458,0.090039656,0.08176681
19,1,0.63580745,0.75521374,0.033164162,0.03924001,0.026249118,1.5522394,1.5259902,0.06918198,0.10255967
20,0,0.63580745,0.91006833,0.17210536,0.046015,0.026249118,1.56924,1.5461036,0.09003086,0.08600342
21,0,0.09554733,0.91006833,0.04108573,0.046182677,0.013119096,1.56924,1.5592337,0.090030506,0.0861711
22,1,0.76922244,0.75521374,0.032082178,0.091235526,0.021460768,1.5522394,1.5307786,0.06789565,0.15454625
23,0,0.76922244,0.91006833,0.041076966,0.101000324,0.021460768,1.56924,1.550892,0.08991676,0.14098868
24,0,0.06666667,0.91006833,0.043414526,0.10001164,0.0,1.56924,1.56924,0.08991881,0.14
25,1,0.77584565,0.75521374,0.03039455,0.11358074,0.01934649,1.5522394,1.532893,0.06734282,0.1768876
26,0,0.77584565,0.91006833,0.03670709,0.124668986,0.01934649,1.56924,1.5530063,0.08986764,0.16465731
27,0,0.059996396,0.91006833,0.12127717,0.1373392,0.010963753,1.56924,1.561389,0.08984134,0.17732751
28,0,0.22034532,0.91006833,0.050130956,0.14167188,0.036896955,1.56924,1.5354558,0.08983236,0.18166018
29,1,0.3244429,0.75521374,0.03313857,0.1330878,0.0004913501,1.5522394,1.551748,0.0668602,0.1963913
30,0,0.3244429,0.91006833,0.485756,0.15609226,0.0004913501,1.56924,1.5697314,0.08980245,0.19608054
31,2,0.18894112,0.91006833,0.0025677045,0.14829704,0.023378588,1.56924,1.5458614,0.08854559,0.19824111
32,3,0.19999832,0.75521374,0.0284078,0.0050514783,0.00036621114,1.5522394,1.5518732,0.051593065,0.1866405
33,2,0.082251705,0.91006833,0.004782051,0.14654976,0.030644178,1.56924,1.5417086,0.08854197,0.19649386
34,2,0.25328606,0.91006833,0.0072001503,0.12297881,0.028970852,1.56924,1.5402691,0.08849306,0.17292291
35,2,0.23791638,0.91006833,0.007082676,0.10121096,0.0130840475,1.56924,1.5561559,0.08844788,0.15115511
36,3,0.20444444,0.75521374,0.024539253,0.018259726,0.0,1.5522394,1.5522394,0.05101633,0.16333336
37,3,0.20444444,0.1284709,0.031341553,0.11183857,0.0,1.4954054,1.4954054,0.04421401,0.16333336
38,2,0.2398974,0.91006833,0.02068186,0.076130256,0.040263616,1.56924,1.5289763,0.08839584,0.12607443
39,3,0.20002761,0.75521374,0.029497823,0.039839976,0.005290499,1.5522394,1.5469489,0.050482452,0.14175677
40,3,0.20002761,0.1284709,0.037942763,0.090167016,0.005290499,1.4954054,1.4901149,0.042037606,0.14172333
41,3,0.28445,0.75521374,0.027870579,0.06343982,0.0014037265,1.5522394,1.5508357,0.049898565,0.11816102
42,3,0.28445,0.1284709,0.038105644,0.06652676,0.0014037265,1.4954054,1.4940017,0.039663494,0.118150234
43,2,0.12224087,0.91006833,0.00047563194,0.07756693,0.013122044,1.56924,1.5592307,0.08839882,0.12751108
44,3,0.08002015,0.75521374,0.29012108,0.05140895,0.044080727,1.5522394,1.5452726,0.05019611,0.13018984
45,2,0.08002015,0.91006833,0.492155,0.05174689,0.044080727,1.56924,1.5251592,0.08834527,0.10169107
46,3,0.08002015,0.1284709,0.29941922,0.07890884,0.044080727,1.4954054,1.5394862,0.040907025,0.13049716
47,3,0.047121856,0.75521374,0.31512454,0.09642637,0.11377067,1.5522394,1.4384687,0.049082458,0.08518016
48,3,0.047121856,0.1284709,0.3280585,0.032358352,0.11377067,1.4954054,1.3816347,0.036232114,0.08407885
49,2,0.24691461,0.91006833,0.0026897101,0.054637313,0.0407825,1.56924,1.5284575,0.08835124,0.104581475
50,2,0.044444446,0.91006833,0.20497434,0.05838915,0.0,1.56924,1.56924,0.088359,0.10833335
51,3,0.311032,0.75521374,0.024164984,0.09086073,0.016949361,1.5522394,1.53529,0.049220085,0.09074485
52,3,0.311032,0.1284709,0.036499113,0.038886096,0.016949361,1.4954054,1.478456,0.036887765,0.09058809
53,3,0.053331755,0.75521374,0.49533588,0.094683714,0.0076907333,1.5522394,1.5445486,0.049125493,0.08692253
54,2,0.053331755,0.91006833,0.31390747,0.041953582,0.0076907333,1.56924,1.564662,0.08832493,0.091897786
55,3,0.33328,0.75521374,0.49977726,0.08061095,0.03544857,1.5522394,1.5539048,0.049473763,0.10099286
56,2,0.33328,0.91006833,0.029714847,0.028115474,0.03544857,1.56924,1.5337914,0.088296205,0.07805967
57,3,0.43553686,0.75521374,0.010428116,0.13105422,0.0060732067,1.5522394,1.5461662,0.0482257,0.05055827
58,2,0.43553686,0.91006833,0.43843418,0.0045474297,0.0060732067,1.56924,1.5662795,0.08824731,0.0544917
59,3,0.43553686,0.1284709,0.0049487543,0.0013280333,0.0060732067,1.4954054,1.4893322,0.032849133,0.050488174
60,3,0.41353366,0.75521374,0.42740154,0.11766781,0.040660273,1.5522394,1.5486931,0.048556805,0.06394237
61,2,0.41353366,0.91006833,0.023009835,0.012340815,0.040660273,1.56924,1.5285797,0.08821225,0.037603438
62,3,0.41353366,0.1284709,0.44172204,0.012602326,0.040660273,1.4954054,1.5360657,0.034248114,0.06437898
63,3,0.05997823,0.75521374,0.33252907,0.15667397,0.026920479,1.5522394,1.525319,0.047591805,0.024942935
64,2,0.05997823,0.91006833,0.47199193,0.0075489394,0.026920479,1.56924,1.5454323,0.08822218,0.042395353
65,3,0.05997823,0.1284709,0.34988603,0.027297487,0.026920479,1.4954054,1.468485,0.030241132,0.02459246
66,3,0.09661042,0.75521374,0.03278455,0.14655736,0.10171874,1.5522394,1.4505206,0.047842145,0.035057783
67,3,0.09661042,0.1284709,0.016022349,0.018082673,0.10171874,1.4954054,1.3936867,0.031166613,0.03378111
68,3,0.045247808,0.75521374,0.01700917,0.15846005,0.13918269,1.5522394,1.4501706,0.04754758,0.02315712
69,3,0.045247808,0.1284709,0.03444605,0.026917484,0.13918269,1.4954054,1.5070046,0.030279338,0.024971426
70,3,0.06448267,0.75521374,0.029495869,0.17132859,0.032964345,1.5522394,1.556389,0.04722923,0.010290861
71,3,0.06448267,0.1284709,0.011103241,0.041183982,0.032964345,1.4954054,1.5283698,0.028846562,0.010745466
