id,posnum,seglen_hor,seglen_ver,segdist_hor,segdist_ver,segdeg_hor,segdeg_ver,cross_deg,dist_hor,dist_ver
0,1,0.8400598,0.90038586,0.0054460564,0.00072529376,0.0030265274,1.5521401,1.5491136,0.076516986,0.0608656
1,0,0.8400598,0.86890745,0.03971673,0.012136014,0.0030265274,1.5370638,1.5400903,0.049156535,0.06285024
2,1,0.8400598,0.034997534,0.12597951,0.07053581,0.0030265274,1.5589254,1.5619519,0.19704992,0.061139204
3,1,0.8400598,0.7685604,0.08798306,0.06224032,0.0030265274,1.5493435,1.546317,0.15905362,0.061052952
4,1,0.8400598,0.2133445,0.06832375,0.13066377,0.0030265274,1.56982,1.5687462,0.1393944,0.061008327
5,0,0.8400598,0.038477737,0.10325409,0.24003907,0.0030265274,1.487655,1.4846286,0.1921267,0.06252571
6,0,0.8400598,0.31172916,0.021552246,0.28055963,0.0030265274,1.5521386,1.555165,0.067320935,0.06280901
7,1,0.8400598,0.15835078,0.024894455,0.39909154,0.0030265274,1.5642958,1.5612693,0.095965326,0.060909748
8,1,0.8400598,0.08832202,0.08323572,0.48063925,0.0030265274,1.5648609,1.5678874,0.15430629,0.061042175
9,3,0.79582256,0.90038586,0.012191264,0.0012376024,0.013124169,1.5521401,1.5652643,0.0988999,0.039417446
10,2,0.79582256,0.86890745,0.003967017,0.009202928,0.013124169,1.5370638,1.5239396,0.08918925,0.047409773
11,3,0.79582256,0.7685604,0.07367951,0.06809051,0.013124169,1.5493435,1.5624677,0.18476325,0.04026264
12,2,0.79582256,0.31172916,0.0036975744,0.29764998,0.013124169,1.5521386,1.5390143,0.08945867,0.04740715
13,3,0.79582256,0.15835078,0.0073278337,0.3422016,0.013124169,1.5642958,1.5641727,0.103762865,0.03946531
14,3,0.79582256,0.08832202,0.036103908,0.33011964,0.013124169,1.5648609,1.5517367,0.14719087,0.039892793
15,2,0.79582256,0.035316158,0.06580321,0.25135052,0.013124169,1.4759932,1.4891174,0.027358381,0.048018396
16,3,0.79582256,0.033499163,0.058971345,0.12516803,0.013124169,1.4661446,1.4792688,0.052123845,0.038957
17,2,0.79582256,0.039999906,0.0026784614,0.012656081,0.013124169,1.5684807,1.5553565,0.09583416,0.047344387
18,2,0.117793925,0.86890745,0.06934423,0.05718117,0.0040285047,1.5370638,1.5330353,0.086204074,0.11375612
19,2,0.117793925,0.31172916,0.06774025,0.23129433,0.0040285047,1.5521386,1.54811,0.08780804,0.11375123
20,2,0.117793925,0.035316158,0.119836465,0.18516302,0.0040285047,1.4759932,1.4800217,0.035712246,0.11390871
21,2,0.08737591,0.035316158,0.029383214,0.23683578,0.1259433,1.4759932,1.5396563,0.029190358,0.062467933
22,2,0.47181416,0.86890745,0.032211833,0.018740417,0.11280469,1.5370638,1.4242592,0.089618124,0.03787768
23,2,0.47181416,0.31172916,0.03229013,0.30718765,0.11280469,1.5521386,1.4393339,0.08969592,0.037871122
24,2,0.47181416,0.035316158,0.03105849,0.2561714,0.11280469,1.4759932,1.5527949,0.026749922,0.04321921
25,2,0.47181416,0.039999906,0.03849869,0.022653563,0.11280469,1.5684807,1.4556761,0.09586502,0.0373469
26,2,0.5074934,0.86890745,0.13881406,0.00097284315,0.11191848,1.5370638,1.4251454,0.08881914,0.055635154
27,2,0.5074934,0.31172916,0.1383756,0.28945723,0.11191848,1.5521386,1.4402201,0.08925487,0.055598438
28,2,0.5074934,0.035316158,0.1990463,0.23863138,0.11191848,1.4759932,1.5536811,0.02896374,0.06068045
29,2,0.5074934,0.039999906,0.13177882,0.0049545425,0.11191848,1.5684807,1.4565623,0.09581037,0.055045903
