id,posnum,seglen_hor,seglen_ver,segdist_hor,segdist_ver,segdeg_hor,segdeg_ver,cross_deg,dist_hor,dist_ver
0,0,0.055280216,0.1070116,0.35767996,0.06784405,0.054805055,1.5091805,1.5639856,0.0327418,0.0677475
1,1,0.055280216,0.047296524,0.41344652,0.0074412064,0.054805055,1.4527417,1.5075468,0.14209229,0.007389431
2,0,0.055280216,0.073459394,0.36778226,0.019636018,0.054805055,1.5254745,1.5613132,0.022654647,0.06848534
3,0,0.055280216,0.19344638,0.33278856,0.038534,0.054805055,1.531949,1.477144,0.05759585,0.06592952
4,0,0.055280216,0.19553494,0.22297427,0.046721086,0.054805055,1.5228666,1.4680616,0.16724522,0.057909038
5,0,0.055280216,0.044475183,0.31482363,0.06454411,0.054805055,1.4874594,1.5422645,0.075533755,0.06461742
6,0,0.055280216,0.14021736,0.2921007,0.09705419,0.054805055,1.5366633,1.4818583,0.09822258,0.06295781
7,0,0.055280216,0.06448102,0.19704884,0.09955636,0.054805055,1.5436096,1.4888046,0.19313174,0.05601553
8,0,0.055280216,0.062236078,0.1911373,0.11553105,0.054805055,1.5638992,1.5090941,0.1990344,0.055583768
9,0,0.055280216,0.05109431,0.29654944,0.11508837,0.054805055,1.4769012,1.4220961,0.09378054,0.06328273
10,0,0.055280216,0.115576535,0.34493044,0.1732047,0.054805055,1.5490125,1.4942075,0.045472156,0.06681632
11,1,0.055280216,0.046666667,0.3637976,0.25342882,0.054805055,1.5707963,1.5159914,0.19166666,0.011015629
12,0,0.055280216,0.051152863,0.24469934,0.2072556,0.054805055,1.5433346,1.5434531,0.14555277,0.059495766
13,1,0.055280216,0.09816045,0.49911737,0.3031585,0.054805055,1.4596666,1.5144717,0.056550086,0.0011323165
14,1,0.055280216,0.044462923,0.44264662,0.35919783,0.054805055,1.5616416,1.5068365,0.11293602,0.005256746
15,1,0.055280216,0.058155153,0.4007521,0.36472318,0.054805055,1.4702249,1.5250299,0.15476763,0.008316595
16,0,0.055280216,0.055584613,0.28761354,0.3574174,0.054805055,1.554339,1.499534,0.10270299,0.06263008
17,0,0.055280216,0.28022468,0.3478436,0.35753256,0.054805055,1.5457817,1.4909767,0.0425634,0.06702909
18,1,0.055280216,0.046816304,0.48327458,0.4336853,0.054805055,1.527079,1.472274,0.0723691,0.0022894202
19,1,0.055280216,0.32391447,0.484883,0.4477915,0.054805055,1.4546661,1.5094712,0.07076305,0.0021719402
20,0,0.055280216,0.4245895,0.3585006,0.42784396,0.054805055,1.5473939,1.4925889,0.031922378,0.067807436
21,0,0.055280216,0.20013174,0.33563223,0.46285695,0.054805055,1.5454444,1.4906393,0.05475639,0.06613721
22,0,0.055280216,0.20020235,0.22182426,0.473532,0.054805055,1.5337541,1.4789491,0.16839351,0.05782504
23,0,0.055280216,0.37339467,0.24669845,0.47590268,0.054805055,1.5633111,1.5085061,0.14355667,0.059641775
24,1,0.053345338,0.06945526,0.32294974,0.042383924,0.0541798,1.4541379,1.3999581,0.009228945,0.073143765
25,0,0.053345338,0.19553494,0.4468486,0.09097177,0.0541798,1.5228666,1.5645463,0.1688353,0.013709176
26,1,0.053345338,0.2521411,0.2975218,0.03955606,0.0541798,1.5087042,1.4545244,0.03461957,0.07130776
27,1,0.053345338,0.051542554,0.30074978,0.053573065,0.0541798,1.4334644,1.3792846,0.03139627,0.07154083
28,1,0.053345338,0.14307037,0.3137101,0.0634475,0.0541798,1.4624914,1.4083116,0.018454969,0.072476625
29,0,0.053345338,0.06448102,0.42168945,0.14006108,0.0541798,1.5436096,1.5438033,0.1939575,0.015525778
30,0,0.053345338,0.062236078,0.41639957,0.15520802,0.0541798,1.5638992,1.5235138,0.19923963,0.01590773
31,1,0.053345338,0.046666667,0.14024389,0.20449285,0.0541798,1.5707963,1.5166165,0.19166666,0.0599516
32,0,0.053345338,0.051152863,0.4711462,0.25481454,0.0541798,1.5433346,1.4891548,0.14457336,0.011954786
33,1,0.053345338,0.06678103,0.30499563,0.20475169,0.0541798,1.472493,1.4183133,0.027156651,0.0718474
34,1,0.053345338,0.13557254,0.29524875,0.23109215,0.0541798,1.5586506,1.5044708,0.036889255,0.071143635
35,1,0.053345338,0.09816045,0.28134295,0.23372291,0.0541798,1.4596666,1.4054868,0.050774634,0.07013957
36,1,0.053345338,0.044462923,0.21867523,0.2988374,0.0541798,1.5616416,1.5257714,0.11335045,0.065614685
37,1,0.053345338,0.058155153,0.18133567,0.30984384,0.0541798,1.4702249,1.4160451,0.15063518,0.06291861
38,1,0.053345338,0.08049225,0.29058227,0.32887903,0.0541798,1.4589285,1.4047487,0.04154885,0.07080669
39,1,0.053345338,0.046816304,0.2575441,0.3674903,0.0541798,1.527079,1.560334,0.07453859,0.06842119
40,1,0.053345338,0.32391447,0.26719093,0.38039172,0.0541798,1.4546661,1.4004864,0.06490588,0.06911774
41,1,0.053345338,0.053746775,0.27791905,0.4644251,0.0541798,1.4541982,1.4000185,0.054193497,0.069892354
42,1,0.0852229,0.2521411,0.3847181,0.0065834867,0.11454111,1.5087042,1.3941631,0.03308493,0.104216784
43,1,0.0852229,0.051542554,0.38990968,0.019787874,0.11454111,1.4334644,1.3189232,0.02792734,0.105007924
44,1,0.0852229,0.14307037,0.4022695,0.028829869,0.11454111,1.4624914,1.3479502,0.015648484,0.10689141
45,1,0.0852229,0.046666667,0.22509035,0.18455297,0.11454111,1.5707963,1.4562552,0.19166666,0.07989147
46,1,0.0852229,0.06678103,0.3931916,0.17092773,0.11454111,1.472493,1.3579519,0.024666965,0.10550805
47,1,0.0852229,0.13557254,0.38118717,0.19855466,0.11454111,1.5586506,1.4441094,0.036592722,0.10367871
48,1,0.0852229,0.09816045,0.36958826,0.20175412,0.11454111,1.4596666,1.3451254,0.04811567,0.10191119
49,1,0.0852229,0.044462923,0.3037415,0.27257398,0.11454111,1.5616416,1.46541,0.113530874,0.09187696
50,1,0.0852229,0.058155153,0.26818585,0.2861842,0.11454111,1.4702249,1.3556838,0.14885354,0.0864587
51,1,0.0852229,0.08049225,0.37895727,0.29614213,0.11454111,1.4589285,1.3443873,0.03880799,0.10333891
52,1,0.0852229,0.046816304,0.34202376,0.33817282,0.11454111,1.527079,1.4999726,0.075499475,0.0977107
53,1,0.0852229,0.32391447,0.35538474,0.349555,0.11454111,1.4546661,1.3401251,0.062226057,0.09974674
54,1,0.0852229,0.053746775,0.36625686,0.4326984,0.11454111,1.4541982,1.3396571,0.05142516,0.10140352
55,1,0.0852229,0.15339425,0.375899,0.4728182,0.11454111,1.5485777,1.4340365,0.041846216,0.10287286
56,1,0.0852229,0.2844406,0.2655232,0.49843153,0.11454111,1.5584972,1.4685545,0.1514988,0.08605294
57,1,0.10011185,0.06945526,0.29832608,0.05133765,0.03379731,1.4541379,1.4203407,0.00844717,0.082036614
58,0,0.10011185,0.19553494,0.42587236,0.05974735,0.03379731,1.5228666,1.5566639,0.1677133,0.04489773
59,1,0.10011185,0.2521411,0.27258518,0.029968465,0.03379731,1.5087042,1.4749069,0.03417337,0.08087688
60,1,0.10011185,0.051542554,0.27634975,0.043977052,0.03379731,1.4334644,1.3996671,0.030410945,0.08104649
61,1,0.10011185,0.14307037,0.2890586,0.054251146,0.03379731,1.4624914,1.4286941,0.017709374,0.08161908
62,0,0.10011185,0.14021736,0.49486038,0.11823481,0.03379731,1.5366633,1.5704606,0.09876465,0.04178951
63,0,0.10011185,0.06448102,0.4002361,0.10952281,0.03379731,1.5436096,1.5641859,0.1933349,0.046052758
64,0,0.10011185,0.062236078,0.39448532,0.12480317,0.03379731,1.5638992,1.5438963,0.19908239,0.04631186
65,0,0.10011185,0.05109431,0.49831745,0.13683313,0.03379731,1.4769012,1.5106984,0.09530955,0.04163375
66,1,0.10011185,0.046666667,0.115001895,0.1906674,0.03379731,1.5707963,1.536999,0.19166666,0.07377704
67,0,0.10011185,0.051152863,0.44836727,0.22287303,0.03379731,1.5433346,1.5095373,0.14523122,0.043884236
68,1,0.10011185,0.06678103,0.28029984,0.19532914,0.03379731,1.472493,1.4386958,0.026463091,0.08122446
69,1,0.10011185,0.13557254,0.2699554,0.22147667,0.03379731,1.5586506,1.5248533,0.036801636,0.08075839
70,1,0.10011185,0.09816045,0.25681403,0.22363393,0.03379731,1.4596666,1.4258693,0.04993552,0.08016632
71,1,0.10011185,0.044462923,0.19328249,0.2871476,0.03379731,1.5616416,1.5461539,0.1134308,0.07730393
72,1,0.10011185,0.058155153,0.15702245,0.2970274,0.03379731,1.4702249,1.4364276,0.14967012,0.07567026
73,1,0.10011185,0.08049225,0.26602942,0.31904268,0.03379731,1.4589285,1.4251312,0.04072541,0.080581516
74,0,0.10011185,0.055584613,0.49066472,0.37807176,0.03379731,1.554339,1.5534564,0.10295792,0.041978538
75,1,0.10011185,0.046816304,0.2318483,0.35685986,0.03379731,1.527079,1.5608763,0.07488698,0.079041496
76,1,0.10011185,0.32391447,0.24274686,0.36990628,0.03379731,1.4546661,1.4208689,0.063994646,0.07953252
77,0,0.10011185,0.20020235,0.42483357,0.48642135,0.03379731,1.5337541,1.5675514,0.16875148,0.044944536
78,1,0.10011185,0.053746775,0.25344336,0.45423374,0.03379731,1.4541982,1.420401,0.053304255,0.08001445
79,0,0.10011185,0.37339467,0.44995382,0.49173212,0.03379731,1.5633111,1.5444844,0.14364558,0.04381275
80,1,0.10011185,0.15339425,0.264535,0.49518237,0.03379731,1.5485777,1.5147804,0.042218924,0.08051418
81,1,0.053566556,0.06945526,0.26999825,0.02048552,0.08855073,1.4541379,1.5426886,0.011140466,0.05139419
82,1,0.053566556,0.2521411,0.24562909,0.056629084,0.08855073,1.5087042,1.5443379,0.0354141,0.054267637
83,1,0.053566556,0.051542554,0.24783815,0.07127341,0.08855073,1.4334644,1.5220151,0.033213675,0.054007154
84,1,0.053566556,0.14307037,0.2610157,0.08358877,0.08855073,1.4624914,1.5510421,0.020087779,0.052453354
85,0,0.053566556,0.06448102,0.4771314,0.009731687,0.08855073,1.5436096,1.4550589,0.19130051,0.145807
86,0,0.053566556,0.062236078,0.4698312,0.02616648,0.08855073,1.5638992,1.4753485,0.19857213,0.1449462
87,1,0.053566556,0.046666667,0.088761926,0.19168006,0.08855073,1.5707963,1.4822458,0.19166666,0.07276438
88,1,0.053566556,0.06678103,0.252553,0.22323711,0.08855073,1.472493,1.5610437,0.028517365,0.05345122
89,1,0.053566556,0.13557254,0.24399559,0.24777676,0.08855073,1.5586506,1.4943914,0.037041247,0.054460242
90,1,0.053566556,0.09816045,0.22903892,0.24772501,0.08855073,1.4596666,1.5482173,0.05193931,0.05622384
91,1,0.053566556,0.044462923,0.16740084,0.30096036,0.08855073,1.5616416,1.4730909,0.11333585,0.0634918
92,1,0.053566556,0.058155153,0.13033047,0.30487445,0.08855073,1.4702249,1.5587755,0.15026098,0.06786289
93,1,0.053566556,0.08049225,0.23814586,0.34463418,0.08855073,1.4589285,1.5474792,0.04286802,0.05515001
94,1,0.053566556,0.046816304,0.2066656,0.37705868,0.08855073,1.527079,1.4385283,0.07422495,0.05886196
95,1,0.053566556,0.32391447,0.21503384,0.39171043,0.08855073,1.4546661,1.5432168,0.06588948,0.057875223
96,1,0.053566556,0.053746775,0.22560608,0.47777945,0.08855073,1.4541982,1.5427489,0.055358708,0.05662862
97,0,0.35498697,0.1070116,0.023896385,0.104573,0.0024687701,1.5091805,1.5067117,0.034438014,0.10440675
98,0,0.35498697,0.073459394,0.034459103,0.055559546,0.0024687701,1.5254745,1.5230057,0.023875328,0.10437198
99,0,0.35498697,0.19344638,0.0018622074,4.4877874e-05,0.0024687701,1.531949,1.5344179,0.056472123,0.10447928
100,0,0.35498697,0.19553494,0.10722295,0.000262192,0.0024687701,1.5228666,1.5253354,0.16555695,0.10483836
101,0,0.35498697,0.044475183,0.01970118,0.0244722,0.0024687701,1.4874594,1.4849906,0.078035444,0.104550265
102,0,0.35498697,0.14021736,0.038821578,0.05537451,0.0024687701,1.5366633,1.5391321,0.09715579,0.10461321
103,0,0.35498697,0.06448102,0.13380028,0.050627958,0.0024687701,1.5436096,1.5460784,0.1921342,0.10492584
104,0,0.35498697,0.062236078,0.14044514,0.06616592,0.0024687701,1.5638992,1.566368,0.19877905,0.104947716
105,0,0.35498697,0.05109431,0.03252863,0.073595844,0.0024687701,1.4769012,1.47937,0.09086286,0.10459249
106,0,0.35498697,0.115576535,0.013477049,0.13557105,0.0024687701,1.5490125,1.5514814,0.04485732,0.104441054
107,1,0.35498697,0.046666667,0.39501432,0.15749025,0.0024687701,1.5707963,1.5683274,0.19166666,0.106954195
108,0,0.35498697,0.051152863,0.088151544,0.16195872,0.0024687701,1.5433346,1.5408658,0.1464856,0.104775585
109,1,0.35498697,0.044462923,0.47304493,0.25723928,0.0024687701,1.5616416,1.5641104,0.113636255,0.10721104
110,1,0.35498697,0.058155153,0.43938965,0.2654378,0.0024687701,1.4702249,1.467756,0.14729148,0.10710026
111,0,0.35498697,0.055584613,0.043850377,0.315412,0.0024687701,1.554339,1.5568079,0.10218457,0.104629755
112,0,0.35498697,0.28022468,0.016472843,0.32011876,0.0024687701,1.5457817,1.5482506,0.041861534,0.1044312
113,0,0.35498697,0.4245895,0.027054358,0.39124504,0.0024687701,1.5473939,1.5498627,0.031280052,0.104396366
114,0,0.35498697,0.20013174,0.004306997,0.42451063,0.0024687701,1.5454444,1.5479132,0.05402734,0.104471244
115,0,0.35498697,0.20020235,0.10875266,0.4264814,0.0024687701,1.5337541,1.5362229,0.16708665,0.10484339
116,0,0.35498697,0.37339467,0.0849693,0.43077806,0.0024687701,1.5633111,1.5657799,0.14330336,0.10476511
117,0,0.35498697,0.16013151,0.038519047,0.46676582,0.0024687701,1.538713,1.5411818,0.096853256,0.10461221
118,1,0.35498697,0.2844406,0.4349883,0.47739708,0.0024687701,1.5584972,1.560966,0.15169281,0.10708577
119,0,0.35498697,0.0712448,0.074160814,0.48915836,0.0024687701,1.5202985,1.5227673,0.13249491,0.10472953
120,3,0.05495211,0.13557254,0.1339462,0.43639186,0.041730817,1.5586506,1.5169199,0.029574096,0.12585902
121,3,0.05495211,0.044462923,0.044572853,0.46028844,0.041730817,1.5616416,1.5382204,0.1188696,0.13083029
122,3,0.05495211,0.058155153,0.073976904,0.44399068,0.041730817,1.4702249,1.4284941,0.08949119,0.12919474
123,3,0.05495211,0.046816304,0.06261671,0.38821223,0.041730817,1.527079,1.5688097,0.10084146,0.1298266
124,3,0.05495211,0.15339425,0.1345296,0.14527857,0.041730817,1.5485777,1.5068469,0.028991163,0.12582654
125,3,0.05495211,0.2844406,0.0047053793,0.001913868,0.041730817,1.5584972,1.5413648,0.15870237,0.13304788
126,3,0.05495211,0.055950012,0.1597987,0.16588995,0.041730817,1.4392538,1.397523,0.0037441254,0.124421
127,3,0.05495211,0.13804944,0.15601672,0.08480818,0.041730817,1.4917346,1.4500039,0.007522762,0.124631345
128,3,0.05495211,0.102207206,0.13084231,0.077116445,0.041730817,1.5536448,1.511914,0.032675266,0.1260317
129,3,0.05501774,0.13557254,0.13565625,0.44431886,0.046770614,1.5586506,1.51188,0.029501855,0.11793268
130,3,0.05501774,0.044462923,0.046140336,0.46760628,0.046770614,1.5616416,1.5331806,0.11891991,0.123512805
131,3,0.05501774,0.058155153,0.07617369,0.45158315,0.046770614,1.4702249,1.4234543,0.0889194,0.12164062
132,3,0.05501774,0.046816304,0.06399454,0.39564613,0.046770614,1.527079,1.5677432,0.101085186,0.12239981
133,3,0.05501774,0.15339425,0.13629976,0.15321456,0.046770614,1.5485777,1.5018071,0.028859079,0.117892504
134,3,0.05501774,0.2844406,0.006249204,0.0051350724,0.046770614,1.5584972,1.536325,0.1587674,0.12599951
