id,posnum,seglen_hor,seglen_ver,segdist_hor,segdist_ver,segdeg_hor,segdeg_ver,cross_deg,dist_hor,dist_ver
0,1,0.9218612,0.06888869,0.01989585,0.033464488,0.014357683,1.568416,1.5540583,0.018387139,0.07124253
1,0,0.9218612,0.8222458,0.0038109608,0.03795614,0.014357683,1.568553,1.5541953,0.036142334,0.0531416
2,1,0.9218612,0.6801195,0.0028442263,0.033559144,0.014357683,1.5454639,1.5598216,0.035436988,0.07091611
3,1,0.9218612,0.76675576,0.016828109,0.051238447,0.014357683,1.5375047,1.5518624,0.021454573,0.07118381
4,1,0.9218612,0.2799954,0.028655602,0.064147405,0.014357683,1.5690465,1.5581886,0.009628296,0.07141022
5,1,0.9218612,0.2778017,0.023415295,0.15542352,0.014357683,1.5482308,1.5625885,0.014868081,0.07130991
6,1,0.9218612,0.1758482,0.07171333,0.17952481,0.014357683,1.5311427,1.5455004,0.1099869,0.06948887
7,1,0.9218612,0.055594604,0.06553196,0.20381425,0.014357683,1.5447301,1.5590878,0.10380614,0.0696072
8,0,0.9218612,0.051109374,0.09939781,0.3715661,0.014357683,1.5625185,1.5647166,0.13934046,0.05511732
9,0,0.9218612,0.05111105,0.014272899,0.49594837,0.014357683,1.569054,1.558181,0.025681471,0.05294133
10,0,0.03337441,0.048903693,0.2531372,0.019249573,0.04422672,1.5201097,1.5643364,0.18208331,0.019224849
11,1,0.03337441,0.062216304,0.40655318,0.060084872,0.04422672,1.5570029,1.5403631,0.12552959,0.060080845
12,1,0.03337441,0.062219188,0.41675848,0.060683884,0.04422672,1.560908,1.536458,0.11533427,0.060682442
13,0,0.03337441,0.04464491,0.39868775,0.008401728,0.04422672,1.5019401,1.5461669,0.03667511,0.010644684
14,0,0.03337441,0.8222458,0.39929262,0.08048882,0.04422672,1.568553,1.5243262,0.036070812,0.010609025
15,1,0.03337441,0.6801195,0.49683884,0.039073873,0.04422672,1.5454639,1.551902,0.035332263,0.065403156
16,1,0.03337441,0.1758482,0.42236355,0.18800747,0.04422672,1.5311427,1.5662233,0.109734714,0.06101286
17,1,0.03337441,0.055594604,0.42845908,0.21205208,0.04422672,1.5447301,1.5526359,0.103645146,0.061372194
18,0,0.03337441,0.051109374,0.29568323,0.40996796,0.04422672,1.5625185,1.5348475,0.13957888,0.01671677
19,0,0.03666604,0.048903693,0.19903445,0.048545346,0.0059338114,1.5201097,1.5141759,0.18097012,0.048483
20,1,0.03666604,0.062216304,0.45798868,0.042997215,0.0059338114,1.5570029,1.5510691,0.12535286,0.04299482
21,1,0.03666604,0.062219188,0.46813923,0.042915087,0.0059338114,1.560908,1.5549742,0.115202546,0.042914513
22,0,0.03666604,0.8222458,0.34387067,0.041468866,0.0059338114,1.568553,1.567106,0.03613645,0.049628884
23,1,0.03666604,0.1758482,0.47414714,0.20616762,0.0059338114,1.5311427,1.525209,0.109194756,0.042866983
24,1,0.03666604,0.055594604,0.4800597,0.23061036,0.0059338114,1.5447301,1.5387963,0.10328227,0.0428202
25,0,0.03666604,0.051109374,0.24062568,0.3778716,0.0059338114,1.5625185,1.5565847,0.13937964,0.048812054
26,0,0.03666604,0.05111105,0.3543216,0.49917814,0.0059338114,1.569054,1.5631202,0.025685705,0.04971157
27,2,0.38836125,0.8222458,0.015697377,0.017399946,0.0061497046,1.568553,1.5668901,0.03761891,0.06925875
28,3,0.38836125,0.1758482,0.42292583,0.4997708,0.0061497046,1.5311427,1.5249931,0.13541228,0.07603955
29,2,0.38836125,0.051109374,0.0805945,0.45218888,0.0061497046,1.5625185,1.5563688,0.13390897,0.07004827
30,2,0.38836125,0.05111105,0.028782263,0.3308491,0.0061497046,1.569054,1.5629044,0.02453427,0.06915146
31,2,0.38836125,0.062220063,0.02593602,0.06416424,0.0061497046,1.5624155,1.5685651,0.02738046,0.069174826
32,0,0.034919344,0.8222458,0.39462787,0.06799218,0.06788409,1.568553,1.5006689,0.036320597,0.15908965
33,0,0.034919344,0.051109374,0.2920749,0.25831473,0.06788409,1.5625185,1.5111902,0.13863736,0.16836482
34,0,0.034919344,0.05111105,0.4054293,0.3907768,0.06788409,1.569054,1.5046546,0.025544,0.15811276
35,3,0.3967857,0.6801195,0.0069302195,0.15180266,0.018633988,1.5454639,1.5640979,0.05187875,0.063880265
36,3,0.3967857,0.15563396,0.005065984,0.0056195958,0.018633988,1.4992023,1.4805683,0.039884627,0.06358224
37,3,0.3967857,0.76675576,0.0018858053,0.0476404,0.018633988,1.5375047,1.5561386,0.043064296,0.06366122
38,3,0.3967857,0.2778017,0.015436436,0.4323607,0.018633988,1.5482308,1.5668647,0.029515982,0.06332457
39,2,0.3967857,0.051109374,0.42441082,0.43812686,0.018633988,1.5625185,1.5604403,0.13399628,0.08410984
40,3,0.3967857,0.048857816,0.022312121,0.32374972,0.018633988,1.5351439,1.5537778,0.02264148,0.063153744
41,3,0.3967857,0.14445905,0.018549567,0.12785472,0.018633988,1.5612748,1.561684,0.026403427,0.06324726
42,3,0.3967857,0.115634225,0.025050329,0.03023252,0.018633988,1.5432049,1.5618389,0.019903779,0.063085735
43,3,0.3967857,0.09555047,0.036124434,0.06058872,0.018633988,1.5674392,1.5555196,0.008831561,0.0628106
44,3,0.3967857,0.059991047,0.026692053,0.047480706,0.018633988,1.5535221,1.5348881,0.018262327,0.063044965
