id,posnum,seglen_hor,seglen_ver,segdist_hor,segdist_ver,segdeg_hor,segdeg_ver,cross_deg,dist_hor,dist_ver
0,1,0.653368,0.04907306,0.26106495,0.047950394,0.0056968536,1.4534616,1.4591585,0.03727019,0.18766361
1,0,0.653368,0.06902484,0.022429114,0.011704634,0.0056968536,1.4918656,1.4975625,0.02588294,0.18054743
2,0,0.653368,0.045311045,0.032605357,0.00030095043,0.0056968536,1.3978623,1.4035592,0.015706863,0.18047014
3,0,0.653368,0.6267014,0.008678275,0.0037968499,0.0056968536,1.561679,1.5559821,0.039633557,0.18065189
4,1,0.653368,0.6537853,0.2769621,0.010000898,0.0056968536,1.5374037,1.5431006,0.021373272,0.18778436
5,0,0.653368,0.071061745,0.03832222,0.055173837,0.0056968536,1.533539,1.5278422,0.009990091,0.18042672
6,0,0.653368,0.06257774,0.028139347,0.100086935,0.0056968536,1.4684846,1.4627877,0.020172799,0.18050407
7,0,0.653368,0.04449956,0.0075075156,0.1150268,0.0056968536,1.5251912,1.5308881,0.040804297,0.18066078
8,0,0.653368,0.048906356,0.038085867,0.18021755,0.0056968536,1.4886374,1.4829406,0.010226443,0.18042852
9,1,0.653368,0.07336326,0.27405435,0.18794803,0.0056968536,1.5304409,1.5361378,0.024281025,0.18776228
10,1,0.653368,0.046666667,0.26333517,0.35454136,0.0056968536,1.5707963,1.5650994,0.035000026,0.18768086
11,0,0.653368,0.06681438,0.040730402,0.4938278,0.0056968536,1.5070012,1.5013043,0.0075819492,0.18040843
12,2,0.9033978,0.6267014,0.007510375,0.030882971,0.0113326935,1.561679,1.5503463,0.04415601,0.15799439
13,3,0.9033978,0.6537853,0.0068832757,0.004675522,0.0113326935,1.5374037,1.5487365,0.03811139,0.1441266
14,2,0.9033978,0.048906356,0.0005752551,0.43479747,0.0113326935,1.4886374,1.4773047,0.051090684,0.1578896
15,3,0.9033978,0.07336326,0.0004837348,0.40724745,0.0113326935,1.5304409,1.5417737,0.044510484,0.14422327
16,3,0.9033978,0.046666667,0.009994844,0.26703152,0.0113326935,1.5707963,1.5594635,0.035000026,0.14407957
17,2,0.9033978,0.06681438,0.012390259,0.10222965,0.0113326935,1.5070012,1.4956684,0.03927644,0.15806818
18,3,0.9033978,0.05558874,0.0031584671,0.07802842,0.0113326935,1.5508972,1.56223,0.041835964,0.14418286
19,1,0.13666667,0.6537853,0.016930548,0.008824465,0.0008621217,1.5374037,1.5382658,0.021402776,0.18896013
20,1,0.13666667,0.07336326,0.01401612,0.18675256,0.0008621217,1.5304409,1.531303,0.024317205,0.18895677
21,1,0.13666667,0.046666667,0.0033333346,0.3532777,0.0008621217,1.5707963,1.5699341,0.035000026,0.1889445
22,0,0.041641705,0.06902484,0.059352405,0.015073192,0.034621466,1.4918656,1.5264871,0.025683727,0.1839055
23,0,0.041641705,0.045311045,0.069722846,0.0033024678,0.034621466,1.3978623,1.4324838,0.0153195,0.18342689
24,0,0.041641705,0.6267014,0.045367535,0.000102373764,0.034621466,1.561679,1.5270575,0.03966022,0.18455096
25,0,0.041641705,0.071061745,0.074978314,0.052414317,0.034621466,1.533539,1.4989176,0.0100671835,0.18318433
26,0,0.041641705,0.06257774,0.06462331,0.09691215,0.034621466,1.4684846,1.4338632,0.02041598,0.18366225
27,0,0.041641705,0.04449956,0.044357598,0.111085944,0.034621466,1.5251912,1.5598127,0.04066955,0.18459755
28,0,0.041641705,0.048906356,0.074647725,0.17743711,0.034621466,1.4886374,1.454016,0.010397574,0.18319958
29,0,0.041641705,0.06681438,0.077337176,0.49115533,0.034621466,1.5070012,1.4723797,0.0077097323,0.18307546
30,0,0.25658235,0.053518172,0.4755342,0.04999056,0.034039304,1.4884831,1.4544438,0.053231608,0.1675827
31,0,0.25658235,0.6267014,0.4892338,0.017488249,0.034039304,1.561679,1.5276397,0.039539948,0.16696106
32,0,0.25658235,0.04449956,0.48750225,0.12866215,0.034039304,1.5251912,1.5592304,0.0412705,0.16703963
33,1,0.04499909,0.6537853,0.098379426,9.048297e-05,0.00054932747,1.5374037,1.5368544,0.021621525,0.19768925
34,1,0.04499909,0.07336326,0.09541922,0.1780108,0.00054932747,1.5304409,1.5298916,0.02458173,0.19769141
35,1,0.04499909,0.046666667,0.085000925,0.3445232,0.00054932747,1.5707963,1.5702472,0.035000026,0.19769904
36,3,0.1666959,0.6537853,0.10369327,0.00042633113,0.014099715,1.5374037,1.5515034,0.037983716,0.1492256
37,3,0.1666959,0.07336326,0.09732088,0.40212113,0.014099715,1.5304409,1.5445406,0.044355452,0.14934546
38,3,0.1666959,0.046666667,0.10667727,0.26194158,0.014099715,1.5707963,1.5566965,0.035000026,0.1491695
39,3,0.1666959,0.05558874,0.09991696,0.07291368,0.014099715,1.5508972,1.564997,0.04175967,0.14929658
40,2,0.045,0.6267014,0.23919103,0.028877271,0.0,1.561679,1.561679,0.044142302,0.16000003
41,2,0.045,0.048906356,0.232373,0.43267992,0.0,1.4886374,1.4886374,0.050960336,0.16000003
42,2,0.045,0.06681438,0.24414945,0.100293875,0.0,1.5070012,1.5070012,0.039183885,0.16000003
