id,posnum,seglen_hor,seglen_ver,segdist_hor,segdist_ver,segdeg_hor,segdeg_ver,cross_deg,dist_hor,dist_ver
0,0,0.049083933,0.9316942,0.4322231,0.028331999,0.07433111,1.5632175,1.4888864,0.055728965,0.008334463
1,0,0.049083933,0.41163754,0.4195901,0.15432088,0.07433111,1.5644367,1.5028249,0.06832706,0.009038081
2,1,0.049083933,0.41863507,0.40768972,0.18545626,0.07433111,1.5445371,1.5227245,0.057729065,0.057848923
3,0,0.6938116,0.9316942,0.15277468,0.002127928,0.027720869,1.5632175,1.5354967,0.056036733,0.038793515
4,0,0.6938116,0.41163754,0.14073423,0.12431455,0.027720869,1.5644367,1.5494351,0.06807256,0.039043814
5,1,0.6938116,0.41863507,0.04001049,0.18608132,0.027720869,1.5445371,1.5693347,0.05770719,0.057224076
6,0,0.3468094,0.9316942,0.31872696,0.086819716,0.018651983,1.5632175,1.5445656,0.05689253,0.12348287
7,0,0.3468094,0.41163754,0.3082623,0.039727394,0.018651983,1.5644367,1.5585041,0.06735535,0.12362925
8,1,0.3468094,0.41863507,0.21726462,0.107446656,0.018651983,1.5445371,1.563189,0.06046009,0.13583162
9,0,0.30456996,0.9316942,0.37925622,0.036956713,0.022136986,1.5632175,1.5410805,0.05638865,0.073621295
10,0,0.30456996,0.41163754,0.3678643,0.08954723,0.022136986,1.5644367,1.5550191,0.067777775,0.07381042
11,1,0.30456996,0.41863507,0.20120612,0.15498063,0.022136986,1.5445371,1.566674,0.05879587,0.08831404
12,0,0.31345415,0.9316942,0.3660576,0.03977042,0.034125187,1.5632175,1.5290923,0.0564171,0.07643493
13,0,0.31345415,0.41163754,0.35471508,0.086632416,0.034125187,1.5644367,1.5430309,0.06775306,0.07672518
14,1,0.31345415,0.41863507,0.20541345,0.14421175,0.034125187,1.5445371,1.5629305,0.05917293,0.099079214
15,0,0.3399704,0.9316942,0.33017707,0.06913883,0.03146431,1.5632175,1.5317532,0.056713868,0.1058025
16,0,0.3399704,0.41163754,0.31938124,0.057299785,0.03146431,1.5644367,1.5456917,0.06750434,0.10605722
17,1,0.3399704,0.41863507,0.21343756,0.116631344,0.03146431,1.5445371,1.5655913,0.060138464,0.12665011
18,0,0.044475228,0.9316942,0.22792272,0.13664927,0.08331736,1.5632175,1.4950578,0.057396054,0.173311
19,0,0.044475228,0.41163754,0.21834646,0.009357628,0.08331736,1.5644367,1.4811193,0.066939086,0.17271328
20,0,0.45347625,0.9316942,0.32082474,0.09980566,0.016493585,1.5632175,1.546724,0.057023723,0.13646844
21,0,0.45347625,0.41163754,0.31060174,0.026761482,0.016493585,1.5644367,1.5606625,0.06724535,0.1365949
22,1,0.45347625,0.41863507,0.10793074,0.09589298,0.016493585,1.5445371,1.5610306,0.06086451,0.14738132
23,0,0.37561992,0.9316942,0.289595,0.11174445,0.019164676,1.5632175,1.5440528,0.05714437,0.14840688
24,0,0.37561992,0.41163754,0.27959356,0.014805508,0.019164676,1.5644367,1.5579914,0.06714398,0.14855063
25,1,0.37561992,0.41863507,0.21645842,0.08219074,0.019164676,1.5445371,1.5637017,0.061344206,0.16107884
26,0,0.44249436,0.9316942,0.2294927,0.1234262,0.023356484,1.5632175,1.5398611,0.05726244,0.1600883
27,0,0.44249436,0.41163754,0.21970774,0.0030962108,0.023356484,1.5644367,1.5537996,0.06704471,0.1602597
28,1,0.44249436,0.41863507,0.20914091,0.067742676,0.023356484,1.5445371,1.5678935,0.061849892,0.17552193
29,0,0.46685377,0.9316942,0.21160406,0.13524143,0.027461601,1.5632175,1.5357559,0.057381846,0.1719032
30,0,0.46685377,0.41163754,0.20203798,0.008744531,0.027461601,1.5644367,1.5496944,0.06694431,0.1721002
31,1,0.46685377,0.41863507,0.20213404,0.05322183,0.027461601,1.5445371,1.569594,0.06235832,0.19003777
32,0,0.4826523,0.9316942,0.21134077,0.14729738,0.027709642,1.5632175,1.5355079,0.057503663,0.1839588
33,0,0.4826523,0.41163754,0.20199876,0.020797502,0.027709642,1.5644367,1.5494465,0.06684211,0.18415292
34,2,0.14666623,0.9316942,0.40068924,0.1661947,0.0034022923,1.5632175,1.5598153,0.06375054,0.19785678
35,2,0.14666623,0.41163754,0.40283796,0.22715726,0.0034022923,1.5644367,1.5678389,0.061601833,0.19786227
36,3,0.14666623,0.41863507,0.3050283,0.14263543,0.0034022923,1.5445371,1.5479393,0.08387065,0.19568175
37,3,0.14666623,0.046912964,0.30308118,0.024320474,0.0034022923,1.4938469,1.4972491,0.085817754,0.19568676
38,2,0.14666623,0.036808778,0.39833897,0.023789173,0.0034022923,1.502381,1.5057832,0.066100806,0.19785082
39,2,0.14666623,0.10380509,0.38843393,0.101609364,0.0034022923,1.491513,1.4881108,0.07600576,0.19782549
40,2,0.15553953,0.9316942,0.40730837,0.15953623,0.0057222554,1.5632175,1.5574952,0.06381788,0.19119853
41,2,0.15553953,0.41163754,0.40958092,0.23381144,0.0057222554,1.5644367,1.570159,0.061545376,0.19120824
42,3,0.15553953,0.41863507,0.2891925,0.15077814,0.0057222554,1.5445371,1.5502594,0.08415568,0.18754184
43,3,0.15553953,0.046912964,0.28669423,0.03247877,0.0057222554,1.4938469,1.4995692,0.08665389,0.18755257
44,2,0.15553953,0.036808778,0.40563384,0.030464284,0.0057222554,1.502381,1.5081033,0.065492384,0.19119132
45,2,0.15553953,0.10380509,0.39441243,0.09490592,0.0057222554,1.491513,1.4857907,0.0767136,0.19114316
46,2,0.44439968,0.9316942,0.41158083,0.145386,0.0022407651,1.5632175,1.5654583,0.06396084,0.17704868
47,2,0.44439968,0.41163754,0.4141164,0.24797548,0.0022407651,1.5644367,1.5621959,0.061425306,0.17704445
48,3,0.44439968,0.41863507,0.00441231,0.15984337,0.0022407651,1.5445371,1.5422963,0.08447307,0.17847979
49,3,0.44439968,0.046912964,0.0075264676,0.041583776,0.0022407651,1.4938469,1.4916061,0.08758724,0.17847455
50,2,0.44439968,0.036808778,0.41134146,0.04463965,0.0022407651,1.502381,1.5001402,0.06420024,0.1770491
51,2,0.44439968,0.10380509,0.39733756,0.0807911,0.0022407651,1.491513,1.4937538,0.07820411,0.17707264
52,2,0.4177792,0.9316942,0.4160316,0.14196931,0.010717809,1.5632175,1.5524998,0.06399536,0.17363209
53,2,0.4177792,0.41163754,0.41863057,0.25136703,0.010717809,1.5644367,1.5664382,0.061396517,0.173653
54,3,0.4177792,0.41863507,0.017360277,0.17153701,0.010717809,1.5445371,1.5552549,0.0848825,0.16679019
55,3,0.4177792,0.046912964,0.013457398,0.05327135,0.010717809,1.4938469,1.5045648,0.08878511,0.16682154
56,2,0.4177792,0.036808778,0.41613874,0.048063796,0.010717809,1.502381,1.5130987,0.06388818,0.17363298
57,2,0.4177792,0.10380509,0.40144506,0.0772221,0.010717809,1.491513,1.4807951,0.078581035,0.17351484
58,2,0.25999588,0.9316942,0.4958666,0.12799236,3.0587988e-05,1.5632175,1.5632482,0.06413659,0.15965557
59,2,0.25999588,0.41163754,0.49872535,0.26536483,3.0587988e-05,1.5644367,1.564406,0.06127784,0.15965551
60,3,0.25999588,0.41863507,0.09486938,0.17865458,3.0587988e-05,1.5445371,1.5445064,0.085131586,0.15967506
61,3,0.25999588,0.046912964,0.09048116,0.060439162,3.0587988e-05,1.4938469,1.4938163,0.0895198,0.15967494
62,2,0.25999588,0.036808778,0.49739197,0.062074024,3.0587988e-05,1.502381,1.5023503,0.06261122,0.15965551
63,2,0.25999588,0.10380509,0.4799541,0.06331948,3.0587988e-05,1.491513,1.4915437,0.0800491,0.15965593
64,2,0.053518135,0.9316942,0.42150518,0.09837299,0.08169564,1.5632175,1.4966795,0.0644359,0.13003701
65,2,0.053518135,0.41163754,0.4249276,0.29519334,0.08169564,1.5644367,1.482741,0.061024882,0.12982756
66,3,0.053518135,0.41863507,0.37905037,0.15601234,0.08169564,1.5445371,1.4628414,0.0843389,0.18230945
67,3,0.053518135,0.046912964,0.37616858,0.037914373,0.08169564,1.4938469,1.4121512,0.08721107,0.18213308
68,2,0.053518135,0.036808778,0.42607683,0.092042364,0.08169564,1.502381,1.4206853,0.059879523,0.12975729
69,2,0.053518135,0.10380509,0.40281317,0.034754965,0.08169564,1.491513,1.568384,0.08306559,0.13118112
70,2,0.053518135,0.045122944,0.3571169,0.035805173,0.08169564,1.5006258,1.5592712,0.12860945,0.13397789
71,2,0.2111108,0.9316942,0.43132275,0.118260026,0.0011289535,1.5632175,1.5620886,0.06423493,0.1499235
72,2,0.2111108,0.41163754,0.43436232,0.27509442,0.0011289535,1.5644367,1.5655656,0.061195374,0.14992613
73,3,0.2111108,0.41863507,0.2078337,0.18912953,0.0011289535,1.5445371,1.545666,0.08549833,0.14920372
74,3,0.2111108,0.046912964,0.2027362,0.0709372,0.0011289535,1.4938469,1.4949758,0.09059584,0.14920795
75,2,0.2111108,0.036808778,0.4338355,0.07182672,0.0011289535,1.502381,1.5035099,0.061722174,0.14992565
76,2,0.2111108,0.10380509,0.414476,0.05354211,0.0011289535,1.491513,1.4903841,0.08108168,0.14990926
77,3,0.053379543,0.41863507,0.24138817,0.18797559,0.043227065,1.5445371,1.50131,0.08545792,0.15035725
78,3,0.053379543,0.046912964,0.23634684,0.06994835,0.043227065,1.4938469,1.4506198,0.09049451,0.15019387
79,2,0.053379543,0.045122944,0.49104717,0.026692277,0.043227065,1.5006258,1.5438529,0.12946136,0.12488741
80,2,0.23554532,0.9316942,0.42009398,0.103621244,0.0038280536,1.5632175,1.5593895,0.064382866,0.13528514
81,2,0.23554532,0.41163754,0.4234056,0.2897262,0.0038280536,1.5644367,1.5682647,0.06107127,0.13529462
82,3,0.23554532,0.41863507,0.19391283,0.20549291,0.0038280536,1.5445371,1.5483651,0.08607125,0.13284594
83,3,0.23554532,0.046912964,0.18770795,0.0873299,0.0038280536,1.4938469,1.497675,0.0922761,0.13286376
84,2,0.23554532,0.036808778,0.42409125,0.08649013,0.0038280536,1.502381,1.506209,0.06038564,0.13529652
85,2,0.23554532,0.10380509,0.4018404,0.03881925,0.0038280536,1.491513,1.487685,0.08263635,0.13523263
86,2,0.23554532,0.045122944,0.3559722,0.036931094,0.0038280536,1.5006258,1.4967978,0.1285042,0.13510102
87,3,0.047137335,0.41863507,0.17917573,0.22576866,0.13043447,1.5445371,1.4666212,0.086781025,0.1125772
88,3,0.047137335,0.046912964,0.17160678,0.106936164,0.13043447,1.4938469,1.5173113,0.09428567,0.11331552
89,2,0.43332532,0.9316942,0.4200087,0.09441707,0.009790934,1.5632175,1.5534266,0.06447588,0.12608123
90,2,0.43332532,0.41163754,0.42349136,0.29891422,0.009790934,1.5644367,1.5673652,0.06099338,0.1261068
91,3,0.43332532,0.41863507,0.004295589,0.21849675,0.009790934,1.5445371,1.554328,0.086526394,0.11984658
92,3,0.43332532,0.046912964,0.0113784475,0.10033358,0.009790934,1.4938469,1.5036378,0.093608916,0.11989856
93,2,0.43332532,0.036808778,0.42493778,0.09569073,0.009790934,1.502381,1.5121719,0.05954702,0.12611747
94,2,0.43332532,0.10380509,0.4008629,0.029497974,0.009790934,1.491513,1.4817221,0.083620705,0.12594068
95,2,0.43332532,0.045122944,0.35508728,0.027411105,0.009790934,1.5006258,1.490835,0.12939416,0.12560445
96,2,0.08222222,0.9316942,0.42428422,0.08166881,0.0,1.5632175,1.5632175,0.06460466,0.113333344
97,2,0.08222222,0.41163754,0.42800388,0.31168792,0.0,1.5644367,1.5644367,0.06088501,0.113333344
98,3,0.08222222,0.41863507,0.34213433,0.22501229,0.0,1.5445371,1.5445371,0.08675456,0.113333344
99,3,0.08222222,0.046912964,0.33460504,0.10691831,0.0,1.4938469,1.4938469,0.09428388,0.113333344
100,2,0.08222222,0.036808778,0.43050984,0.10850483,0.0,1.502381,1.502381,0.058379043,0.113333344
101,2,0.08222222,0.10380509,0.40393263,0.016850926,0.0,1.491513,1.491513,0.08495626,0.113333344
102,2,0.08222222,0.045122944,0.35834473,0.015109712,0.0,1.5006258,1.5006258,0.13054416,0.113333344
103,3,0.2157281,0.41863507,0.061563235,0.23926583,0.020448608,1.5445371,1.5649856,0.08725357,0.099084675
104,3,0.2157281,0.046912964,0.05307974,0.12107876,0.020448608,1.4938469,1.5142955,0.09573525,0.09921479
105,3,0.08223754,0.41863507,0.19237043,0.25026664,0.008116253,1.5445371,1.5364208,0.08763862,0.08808768
106,3,0.08223754,0.046912964,0.18312384,0.13229531,0.008116253,1.4938469,1.4857306,0.09688491,0.08803141
107,3,0.04893922,0.41863507,0.06568485,0.25267634,0.047565304,1.5445371,1.4969717,0.08772296,0.085678816
108,3,0.04893922,0.046912964,0.056235682,0.13499282,0.047565304,1.4938469,1.4462816,0.09716147,0.08534187
109,3,0.06003529,0.41863507,0.17048867,0.24676007,0.05098585,1.5445371,1.4935513,0.08751589,0.09159303
110,3,0.06003529,0.046912964,0.16143844,0.12907004,0.05098585,1.4938469,1.4428611,0.09655434,0.09124714
111,2,0.38666666,0.9316942,0.3994389,0.042001024,0.0,1.5632175,1.5632175,0.06500556,0.07366669
112,2,0.38666666,0.41163754,0.40389577,0.35135537,0.0,1.5644367,1.5644367,0.06054867,0.07366669
113,3,0.38666666,0.41863507,0.06074524,0.26469257,0.0,1.5445371,1.5445371,0.08814365,0.07366669
114,3,0.38666666,0.046912964,0.050527208,0.14670268,0.0,1.4938469,1.4938469,0.09836167,0.07366669
115,2,0.38666666,0.036808778,0.40968946,0.1482645,0.0,1.502381,1.502381,0.054754976,0.07366669
116,2,0.38666666,0.10380509,0.3752862,0.022940716,0.0,1.491513,1.491513,0.08915826,0.07366669
117,2,0.38666666,0.045122944,0.33018297,0.02465479,0.0,1.5006258,1.5006258,0.13426147,0.07366669
118,2,0.34888813,0.9316942,0.39040875,0.028098138,0.00031288783,1.5632175,1.5629046,0.06514601,0.059764206
119,2,0.34888813,0.41163754,0.39512396,0.365257,0.00031288783,1.5644367,1.5647496,0.060430806,0.05976534
120,3,0.34888813,0.41863507,0.1069197,0.27879828,0.00031288783,1.5445371,1.54485,0.08863741,0.059565842
121,3,0.34888813,0.046912964,0.095746055,0.16084284,0.00031288783,1.4938469,1.4941598,0.09981108,0.059568405
122,2,0.34888813,0.036808778,0.4020697,0.16219682,0.00031288783,1.502381,1.5026939,0.053485073,0.05976695
123,2,0.34888813,0.10380509,0.36492315,0.03689303,0.00031288783,1.491513,1.4912001,0.09063158,0.059758186
124,2,0.34888813,0.045122944,0.31998888,0.038608193,0.00031288783,1.5006258,1.5003129,0.13556589,0.059747636
125,2,0.32663536,0.9316942,0.39922604,0.016784132,0.0072637796,1.5632175,1.5559537,0.06526038,0.04845053
126,2,0.32663536,0.41163754,0.40415147,0.37654528,0.0072637796,1.5644367,1.5698923,0.060335085,0.048477292
127,3,0.32663536,0.41863507,0.119712435,0.29452568,0.0072637796,1.5445371,1.5518008,0.0891881,0.043843865
128,3,0.32663536,0.046912964,0.10747958,0.17654717,0.0072637796,1.4938469,1.5011107,0.10142064,0.043910503
129,2,0.32663536,0.036808778,0.41202924,0.17346993,0.0072637796,1.502381,1.5096447,0.052457478,0.048520207
130,2,0.32663536,0.10380509,0.37264085,0.048381656,0.0072637796,1.491513,1.4842492,0.09184486,0.04830569
131,2,0.32663536,0.045122944,0.32782346,0.05032312,0.0072637796,1.5006258,1.4933621,0.13666107,0.04806155
132,3,0.07553604,0.41863507,0.07942362,0.30284476,0.02270751,1.5445371,1.5672445,0.08947933,0.035527647
133,3,0.07553604,0.046912964,0.066639565,0.18473656,0.02270751,1.4938469,1.5165544,0.10226005,0.035745323
134,2,0.28445706,0.9316942,0.36570293,0.0015841114,0.009399844,1.5632175,1.5689753,0.06541395,0.033250928
135,2,0.28445706,0.41163754,0.37091148,0.3918087,0.009399844,1.5644367,1.5550368,0.06020562,0.03321421
136,3,0.28445706,0.41863507,0.19511305,0.29916105,0.009399844,1.5445371,1.5351372,0.08935034,0.03921008
137,3,0.28445706,0.046912964,0.18254985,0.1813504,0.009399844,1.4938469,1.484447,0.101912975,0.03912151
138,2,0.28445706,0.036808778,0.38006428,0.18887645,0.009399844,1.502381,1.4929811,0.05105323,0.03314972
