id,posnum,seglen_hor,seglen_ver,segdist_hor,segdist_ver,segdeg_hor,segdeg_ver,cross_deg,dist_hor,dist_ver
0,1,0.92895514,0.041699983,0.05577358,0.01777124,0.002121615,1.5302267,1.5323483,0.07353932,0.045621376
1,0,0.92895514,0.8634191,0.0022122583,0.026373751,0.002121615,1.5086193,1.5107409,0.05106886,0.04701431
2,1,0.92895514,0.8720407,0.0027377042,0.031214759,0.002121615,1.5039582,1.5018367,0.015028119,0.04552827
3,1,0.92895514,0.14740618,0.11830593,0.04430248,0.002121615,1.4871006,1.4892222,0.1360715,0.045720875
4,1,0.92895514,0.15876752,0.10292009,0.044384535,0.002121615,1.5111263,1.5090047,0.1206857,0.045696396
5,1,0.92895514,0.055187594,0.098045535,0.04454118,0.002121615,1.510272,1.5123936,0.11581117,0.04568864
6,1,0.92895514,0.15688969,0.1652688,0.045948643,0.002121615,1.5219187,1.5197971,0.18303424,0.045795605
7,1,0.92895514,0.050108366,0.15553,0.04580027,0.002121615,1.5080719,1.5101935,0.1732955,0.045780107
8,1,0.92895514,0.14233501,0.1240077,0.045822464,0.002121615,1.5069504,1.509072,0.14177328,0.04572995
9,1,0.92895514,0.15531728,0.07425534,0.046091907,0.002121615,1.5151342,1.5130126,0.09202099,0.045650784
10,1,0.92895514,0.1536761,0.13055144,0.04938997,0.002121615,1.5123957,1.5102742,0.14831698,0.045740362
11,1,0.92895514,0.06840876,0.05196152,0.0661058,0.002121615,1.5351137,1.5329921,0.06972724,0.045615308
12,1,0.92895514,0.05177327,0.15105286,0.15122372,0.002121615,1.5119553,1.5098337,0.16881835,0.045772985
13,1,0.92895514,0.051687967,0.1478361,0.15108289,0.002121615,1.5238743,1.5217527,0.16560161,0.045767866
14,1,0.92895514,0.051770367,0.13778555,0.1511443,0.002121615,1.5183735,1.5162519,0.15555108,0.045751873
15,1,0.92895514,0.051877927,0.11800977,0.1512658,0.002121615,1.5083779,1.5062563,0.13577533,0.045720406
16,1,0.92895514,0.04345346,0.014249165,0.35506523,0.002121615,1.5130852,1.5109637,0.032014966,0.045555297
17,1,0.92895514,0.04678156,0.030792102,0.36507612,0.002121615,1.5125659,1.5104443,0.048557878,0.045581624
18,1,0.92895514,0.065516435,0.0041891914,0.41508317,0.002121615,1.4650998,1.4629782,0.021955013,0.045539293
19,1,0.92895514,0.04013831,0.0047585825,0.46796426,0.002121615,1.4837425,1.4816209,0.022524416,0.0455402
20,1,0.05109586,0.041699983,0.020740246,0.00033821023,0.02444336,1.5302267,1.5546701,0.07259643,0.06304006
21,1,0.05109586,0.8720407,0.07685415,0.014694689,0.02444336,1.5039582,1.4795148,0.01649928,0.06201145
22,1,0.05109586,0.14740618,0.04068992,0.025792439,0.02444336,1.4871006,1.511544,0.13400823,0.06416612
23,1,0.05109586,0.15876752,0.028817743,0.026099898,0.02444336,1.5111263,1.4866829,0.12213963,0.06394849
24,1,0.05109586,0.055187594,0.021023124,0.026390975,0.02444336,1.510272,1.5347154,0.11434734,0.06380561
25,1,0.05109586,0.14233501,0.046875577,0.027235037,0.02444336,1.5069504,1.5313938,0.14019203,0.064279504
26,1,0.05109586,0.15531728,1.0650486e-05,0.028294688,0.02444336,1.5151342,1.4906908,0.09334111,0.063420445
27,1,0.05109586,0.06840876,0.022782413,0.048707407,0.02444336,1.5351137,1.5106703,0.07055485,0.06300262
28,1,0.05109586,0.051877927,0.04400023,0.1327233,0.02444336,1.5083779,1.4839345,0.1373176,0.0642268
29,1,0.05109586,0.04345346,0.06004208,0.33827293,0.02444336,1.5130852,1.4886419,0.03330636,0.062319636
30,1,0.05109586,0.04678156,0.043460928,0.3480052,0.02444336,1.5125659,1.4881225,0.04988253,0.062623575
31,1,0.05109586,0.065516435,0.06904583,0.39837465,0.02444336,1.4650998,1.4406564,0.024305284,0.062154587
32,1,0.05109586,0.04013831,0.068892926,0.45128396,0.02444336,1.4837425,1.4592991,0.02445817,0.06215739
33,2,0.99856657,0.8634191,0.12539522,0.005802126,0.022918928,1.5086193,1.4857004,0.12526827,0.05912137
34,3,0.99856657,0.8720407,0.09436832,0.0075141336,0.022918928,1.5039582,1.5268772,0.09613323,0.045735657
35,3,0.99856657,0.04678156,0.11739899,0.4979713,0.022918928,1.5125659,1.5354848,0.11915785,0.04613149
36,3,0.99856657,0.065516435,0.14861704,0.43228754,0.022918928,1.4650998,1.4880188,0.15036768,0.046668112
37,3,0.99856657,0.04013831,0.12644854,0.40352228,0.022918928,1.4837425,1.5066614,0.128205,0.046287
38,3,0.99856657,0.04344449,0.120407596,0.27876326,0.022918928,1.4661747,1.4890937,0.12216568,0.04618317
39,3,0.99856657,0.1688138,0.039610554,0.08190422,0.022918928,1.5116017,1.5345206,0.041389823,0.0447945
40,2,0.9987941,0.8634191,0.12691599,0.02301424,0.04250859,1.5086193,1.4661107,0.12669429,0.041942537
41,3,0.9987941,0.8720407,0.096549205,0.036082253,0.04250859,1.5039582,1.5464668,0.09867716,0.017231345
42,3,0.9987941,0.065516435,0.15220307,0.46010575,0.04250859,1.4650998,1.5076084,0.15428072,0.01900512
43,3,0.9987941,0.04013831,0.12936613,0.43163848,0.04250859,1.4837425,1.5262511,0.13146442,0.018277287
44,3,0.9987941,0.04344449,0.123993434,0.3069947,0.04250859,1.4661747,1.5086833,0.1260966,0.018106103
45,3,0.9987941,0.1688138,0.041528802,0.11127247,0.04250859,1.5116017,1.5541103,0.043706477,0.015477717
