id,posnum,seglen_hor,seglen_ver,segdist_hor,segdist_ver,segdeg_hor,segdeg_ver,cross_deg,dist_hor,dist_ver
0,0,0.3600025,0.71834975,0.073660515,0.031116782,0.0065774038,1.5698384,1.565177,0.07078715,0.048871916
1,1,0.3600025,0.061677475,0.41265646,0.03697251,0.0065774038,1.563258,1.5698354,0.08291173,0.04469701
2,1,0.3600025,0.13833582,0.4138597,0.19864261,0.0065774038,1.5692095,1.5626321,0.08170849,0.044691075
3,1,0.3600025,0.41833714,0.41105175,0.49029684,0.0065774038,1.5666459,1.5683695,0.084516406,0.044704925
4,1,0.16665432,0.061677475,0.14823878,0.03970505,0.021060834,1.563258,1.5572739,0.08293921,0.041964553
5,1,0.16665432,0.13833582,0.14947556,0.20138867,0.021060834,1.5692095,1.5481486,0.08170265,0.041945018
6,1,0.16665432,0.41833714,0.14664616,0.49301207,0.021060834,1.5666459,1.553886,0.08453143,0.041989706
7,1,0.053487673,0.061677475,0.045973226,0.03457682,0.04936524,1.563258,1.5138928,0.08288765,0.04709264
8,1,0.053487673,0.13833582,0.047148637,0.19619755,0.04936524,1.5692095,1.523018,0.08171368,0.04713614
9,1,0.053487673,0.41833714,0.044355318,0.487969,0.04936524,1.5666459,1.5172806,0.08450359,0.04703276
10,0,0.68670535,0.71834975,0.12918884,0.019261844,0.0055312943,1.5698384,1.566223,0.07080228,0.060726847
11,1,0.68670535,0.061677475,0.030530658,0.024453668,0.0055312943,1.563258,1.5687894,0.082785845,0.0572155
12,1,0.68670535,0.13833582,0.0315815,0.18612252,0.0055312943,1.5692095,1.5636781,0.081735015,0.05721114
13,1,0.68670535,0.41833714,0.028869256,0.4777793,0.0055312943,1.5666459,1.5694156,0.084447205,0.057222392
14,0,0.12018487,0.71834975,0.0068952576,0.0124428235,0.057263255,1.5698384,1.5144911,0.070811,0.06754587
15,0,0.63334,0.71834975,0.2135045,0.07111682,0.0054296427,1.5698384,1.5663247,0.07091773,0.15110548
16,1,0.63334,0.13833582,0.00032396585,0.09567794,0.0054296427,1.5692095,1.5637798,0.081926346,0.14765562
17,1,0.63334,0.41833714,0.0016963955,0.38733706,0.0054296427,1.5666459,1.5695173,0.083946645,0.14766385
18,0,0.63110274,0.71834975,0.21573772,0.08846215,0.0022468606,1.5698384,1.5695075,0.07093989,0.16845079
19,1,0.63110274,0.13833582,0.00025458506,0.076310225,0.0022468606,1.5692095,1.5669626,0.081967235,0.1670233
20,1,0.63110274,0.41833714,0.0016176392,0.36797428,0.0022468606,1.5666459,1.5688927,0.083839476,0.16702646
21,0,0.72664535,0.71834975,0.12019196,0.09645656,0.0044099223,1.5698384,1.5654285,0.07095009,0.1764452
22,1,0.72664535,0.13833582,0.00022766333,0.06408672,0.0044099223,1.5692095,1.5679734,0.08199316,0.1792468
23,1,0.72664535,0.41833714,0.0015511218,0.3557597,0.0044099223,1.5666459,1.562236,0.083771884,0.17924093
24,0,0.0734651,0.71834975,0.0045144013,0.10391991,0.051804002,1.5698384,1.5199504,0.07095963,0.18390854
25,2,0.68670493,0.71834975,0.05027036,0.16130246,0.011032256,1.5698384,1.5588062,0.07195041,0.040359497
26,3,0.68670493,0.41833714,0.11171158,0.013331515,0.011032256,1.5666459,1.5556136,0.07941431,0.033337533
27,3,0.06668992,0.41833714,0.013930743,0.0056291176,0.053614154,1.5666459,1.5213327,0.079456985,0.041039824
28,2,0.044911668,0.71834975,0.023745762,0.16800219,0.112357125,1.5698384,1.4574813,0.071958974,0.033659756
29,2,0.5599209,0.71834975,0.07258112,0.169706,0.023134975,1.5698384,1.5467035,0.071961135,0.031955957
30,3,0.5599209,0.41833714,0.2164388,0.029442089,0.023134975,1.5666459,1.5435109,0.0793252,0.017227054
