id,posnum,seglen_hor,seglen_ver,segdist_hor,segdist_ver,segdeg_hor,segdeg_ver,cross_deg,dist_hor,dist_ver
0,0,0.77521926,0.8755666,0.017281404,0.008847918,0.0076729544,1.5663178,1.5586449,0.12468379,0.024496252
1,1,0.77521926,0.81334317,0.036749844,0.0025021906,0.0076729544,1.5677141,1.5662057,0.046090007,0.019717127
2,1,0.77521926,0.12001274,0.009306962,0.020126503,0.0076729544,1.5637164,1.5560435,0.073532104,0.019875284
3,0,0.77521926,0.27555555,0.005832381,0.16223639,0.0076729544,1.5707734,1.5631465,0.13613248,0.024430271
4,1,0.77521926,0.13332294,0.003357574,0.45340893,0.0076729544,1.5583143,1.5659872,0.086196244,0.019948272
5,0,0.50298935,0.8755666,0.28663853,0.009911861,0.011895434,1.5663178,1.5544224,0.12457192,0.043255843
6,1,0.50298935,0.81334317,0.03983512,0.013625693,0.011895434,1.5677141,1.5619832,0.046023786,0.035844933
7,1,0.50298935,0.12001274,0.012171957,0.0039092894,0.011895434,1.5637164,1.551821,0.07368499,0.03609209
8,0,0.50298935,0.27555555,0.27507666,0.14351413,0.011895434,1.5707734,1.558924,0.136133,0.04315254
9,1,0.50298935,0.13332294,7.0069e-05,0.43715447,0.011895434,1.5583143,1.5702097,0.085926116,0.036201473
10,0,0.109800376,0.8755666,0.42961413,0.061864164,0.0590094,1.5663178,1.5073084,0.12426216,0.095207624
11,1,0.109800376,0.81334317,0.29183888,0.036166538,0.0590094,1.5677141,1.5148692,0.04593128,0.058385674
12,1,0.109800376,0.12001274,0.2638146,0.01962627,0.0590094,1.5637164,1.504707,0.07390678,0.059627064
13,0,0.109800376,0.27555555,0.41772103,0.09198588,0.0590094,1.5707734,1.51181,0.13613458,0.094680786
14,1,0.109800376,0.13332294,0.25217292,0.41321135,0.0590094,1.5583143,1.524269,0.085528195,0.060142756
15,0,0.05920167,0.8755666,0.20769633,0.012182192,0.08843868,1.5663178,1.4868363,0.1245584,0.045526154
16,0,0.05920167,0.27555555,0.19607615,0.14036962,0.08843868,1.5707734,1.4823347,0.13613313,0.04629704
17,1,0.062117316,0.81334317,0.03692715,0.03694326,0.020358663,1.5677141,1.55352,0.04592812,0.059162393
18,1,0.062117316,0.12001274,0.008943052,0.019589497,0.020358663,1.5637164,1.5433577,0.07390642,0.059590288
19,1,0.062117316,0.13332294,0.0026873678,0.413586,0.020358663,1.5583143,1.5629197,0.08553445,0.059768125
20,0,0.0739645,0.8755666,0.45551556,0.04443414,0.0,1.5663178,1.5663178,0.12436608,0.07777778
21,1,0.0739645,0.81334317,0.3003021,0.055558734,0.0,1.5677141,1.5677141,0.045851767,0.07777778
22,1,0.0739645,0.12001274,0.27207595,0.03777744,0.0,1.5637164,1.5637164,0.074077904,0.07777778
23,0,0.0739645,0.27555555,0.44374758,0.10888889,0.0,1.5707734,1.5707734,0.13613409,0.07777778
24,1,0.0739645,0.13332294,0.2609187,0.39557496,0.0,1.5583143,1.5583143,0.08523512,0.07777778
25,0,0.46448043,0.8755666,0.28453737,0.146897,0.0010758062,1.5663178,1.5673937,0.12375519,0.18023963
26,1,0.46448043,0.81334317,0.08179889,0.15869242,0.0010758062,1.5677141,1.5666382,0.045428574,0.18091096
27,0,0.46448043,0.27555555,0.27215534,0.006417033,0.0010758062,1.5707734,1.5696975,0.13613725,0.18024963
28,1,0.46448043,0.13332294,0.043705802,0.29246452,0.0010758062,1.5583143,1.5572385,0.083521664,0.18088017
29,0,0.46448043,0.280003,0.26198786,0.43092132,0.0010758062,1.553839,1.5549148,0.14630473,0.18025786
30,2,0.18932563,0.8755666,0.07582645,0.016324626,0.015795548,1.5663178,1.5505222,0.11950778,0.10742253
31,2,0.18932563,0.27555555,0.059173133,0.43015766,0.015795548,1.5707734,1.5550238,0.13615903,0.10762012
32,2,0.18932563,0.280003,0.06510843,0.001370504,0.015795548,1.553839,1.5380434,0.13022447,0.10754973
