id,posnum,seglen_hor,seglen_ver,segdist_hor,segdist_ver,segdeg_hor,segdeg_ver,cross_deg,dist_hor,dist_ver
0,1,0.7000064,0.81834924,0.008153893,0.00521125,0.00092320656,1.5677749,1.5668517,0.120727,0.09144925
1,0,0.7000064,0.7534188,0.053779673,0.0030734886,0.00092320656,1.5523831,1.5514599,0.11733327,0.09197683
2,0,0.7000064,0.06833303,0.0042512193,0.0013912263,0.00092320656,1.567798,1.5668749,0.16686171,0.091942534
3,1,0.7000064,0.07174096,0.03242447,0.0052112266,0.00092320656,1.5337389,1.5328157,0.16130537,0.09147735
4,0,0.7000064,0.26166922,0.0058682957,0.15805422,0.00092320656,1.5690111,1.5680879,0.16524464,0.09194365
5,1,0.7000064,0.2550328,0.039635636,0.17018273,0.00092320656,1.5645247,1.5636015,0.16851652,0.09148235
6,0,0.7000064,0.046687197,0.03903968,0.4114057,0.00092320656,1.5549914,1.5540682,0.13207327,0.09196662
7,1,0.6622817,0.81834924,0.047867548,0.07311563,0.013115379,1.5677749,1.5607024,0.12104249,0.16977577
8,0,0.6622817,0.7534188,0.053266454,0.06722822,0.013115379,1.5523831,1.5654985,0.11560738,0.16226661
9,0,0.6622817,0.26166922,0.0037935087,0.08724449,0.013115379,1.5690111,1.5594662,0.16507608,0.16275325
10,1,0.6622817,0.2550328,0.00026145636,0.09236118,0.013115379,1.5645247,1.5639527,0.16916734,0.16930237
11,0,0.6622817,0.046687197,0.038283966,0.34094957,0.013115379,1.5549914,1.5681068,0.13058858,0.16241398
12,0,0.6622817,0.03834628,0.010253737,0.4319807,0.013115379,1.4925197,1.5056351,0.1586164,0.1626897
13,3,0.53786135,0.81834924,0.004833067,0.0009887739,0.011200795,1.5677749,1.5626171,0.12404078,0.08598274
14,2,0.53786135,0.7534188,0.23600395,0.059144955,0.011200795,1.5523831,1.5635839,0.09730967,0.09252423
15,2,0.53786135,0.26166922,0.17000741,0.39636442,0.011200795,1.5690111,1.5613809,0.16330206,0.09196979
16,3,0.53786135,0.2550328,0.04652052,0.3969041,0.011200795,1.5645247,1.5658673,0.1753912,0.08641416
17,2,0.53786135,0.046687197,0.21842937,0.35766575,0.011200795,1.5549914,1.5661922,0.11488313,0.09237659
18,2,0.53786135,0.03834628,0.25257537,0.27660698,0.011200795,1.4925197,1.5037205,0.08073929,0.09266347
19,2,0.53786135,0.24502005,0.22955891,0.0041266647,0.011200795,1.5525346,1.5637354,0.10375429,0.09247011
20,2,0.22448108,0.7534188,0.009525699,0.06446222,0.027896361,1.5523831,1.5244867,0.097179145,0.087207854
21,2,0.22448108,0.26166922,0.05661491,0.39974272,0.027896361,1.5690111,1.5411147,0.16329402,0.088591516
22,3,0.22448108,0.2550328,0.49383995,0.3808839,0.027896361,1.5645247,1.5366282,0.17525733,0.1024341
23,2,0.22448108,0.046687197,0.008083986,0.36246672,0.027896361,1.5549914,1.527095,0.114781976,0.08757621
24,2,0.22448108,0.03834628,0.026580056,0.2824372,0.027896361,1.4925197,1.4646233,0.08013142,0.08685112
25,2,0.22448108,0.24502005,0.0030728919,0.0010014487,0.027896361,1.5525346,1.5246382,0.10362944,0.08734286
