id,posnum,seglen_hor,seglen_ver,segdist_hor,segdist_ver,segdeg_hor,segdeg_ver,cross_deg,dist_hor,dist_ver
0,1,0.8834371,0.8534229,0.008374289,0.0031014988,0.00383941,1.5613955,1.5652349,0.059943855,0.054168392
1,0,0.8834371,0.73335356,0.06330018,0.05934498,0.00383941,1.5678451,1.5699083,0.111551054,0.05840971
2,1,0.8834371,0.79335815,0.0031913484,0.068025045,0.00383941,1.5673172,1.5704361,0.06512678,0.054194923
3,0,0.8834371,0.044639688,0.0006180332,0.0708124,0.00383941,1.4367206,1.4328812,0.04886937,0.05873059
4,0,0.8834371,0.055699877,0.018269591,0.092389345,0.00383941,1.5254679,1.5216285,0.029981887,0.058827277
5,1,0.8834371,0.057924353,0.027492879,0.1066288,0.00383941,1.4651946,1.4613552,0.040825427,0.05407052
6,1,0.8834371,0.06455926,0.0014204003,0.14141825,0.00383941,1.536364,1.5325246,0.06973845,0.05421853
7,0,0.8834371,0.81333816,0.0064363414,0.023468556,0.00383941,1.5687386,1.5690148,0.04181505,0.058766704
8,1,0.8834371,0.7288962,0.018211905,0.14143728,0.00383941,1.5674393,1.570314,0.050106287,0.05411803
9,1,0.8834371,0.055557042,0.017604297,0.17680886,0.00383941,1.5701226,1.5662832,0.08592224,0.05430138
10,0,0.8834371,0.08006211,0.02510704,0.1878197,0.00383941,1.5544009,1.5582403,0.02314449,0.058862284
11,1,0.8834371,0.06444312,0.02688873,0.22788471,0.00383941,1.5643264,1.5681658,0.09520662,0.05434891
12,1,0.8834371,0.04668507,0.09197389,0.24310228,0.00383941,1.5616401,1.5578008,0.16029131,0.05468209
13,0,0.8834371,0.044444446,0.10690817,0.2507024,0.00383941,1.5707963,1.5669569,0.15515873,0.058186468
14,0,0.8834371,0.046860673,0.035670355,0.35525283,0.00383941,1.448805,1.4526443,0.08392143,0.058551148
15,0,0.8834371,0.06920908,0.095403075,0.27420488,0.00383941,1.4674095,1.4635701,0.14365372,0.058245365
16,0,0.8834371,0.102209225,0.09633498,0.3062329,0.00383941,1.5601867,1.5563474,0.14458561,0.058240592
17,0,0.8834371,0.10221926,0.12535483,0.30635956,0.00383941,1.5657227,1.5695621,0.17360525,0.058092035
18,1,0.8834371,0.49110296,0.037252065,0.32337564,0.00383941,1.5673171,1.5634778,0.10556984,0.05440196
19,0,0.8834371,0.04666117,0.1371666,0.36200252,0.00383941,1.5554606,1.5516212,0.18541695,0.05803157
20,0,0.8834371,0.04449826,0.039735995,0.39735508,0.00383941,1.5120715,1.5159109,0.008515641,0.05893717
21,0,0.8834371,0.10002122,0.016599698,0.44564417,0.00383941,1.556899,1.5530596,0.03165177,0.05881873
22,1,0.033333335,0.8534229,0.38014424,0.015600326,0.0,1.5613955,1.5613955,0.05985576,0.06666667
23,0,0.033333335,0.73335356,0.41509733,0.051087987,0.0,1.5678451,1.5678451,0.11156934,0.06666667
24,1,0.033333335,0.79335815,0.3749058,0.05555323,0.0,1.5673172,1.5673172,0.06509417,0.06666667
25,0,0.033333335,0.044639688,0.47860014,0.06280445,0.0,1.4367206,1.4367206,0.048066508,0.06666667
26,0,0.033333335,0.055699877,0.4969515,0.084541894,0.0,1.5254679,1.5254679,0.02971517,0.06666667
27,1,0.033333335,0.057924353,0.39817312,0.093962066,0.0,1.4651946,1.4651946,0.041826904,0.06666667
28,1,0.033333335,0.06455926,0.36993998,0.12896274,0.0,1.536364,1.536364,0.070060015,0.06666667
29,0,0.033333335,0.81333816,0.48483944,0.015568575,0.0,1.5687386,1.5687386,0.04182724,0.06666667
