id,posnum,seglen_hor,seglen_ver,segdist_hor,segdist_ver,segdeg_hor,segdeg_ver,cross_deg,dist_hor,dist_ver
0,0,0.12697808,0.040300146,0.39306927,0.056437157,0.07149252,1.4699517,1.5414443,0.09000522,0.008865309
1,1,0.12697808,0.039952822,0.3194653,0.0362229,0.07149252,1.5222237,1.5478765,0.07262671,0.053841107
2,0,0.12697808,0.82668424,0.39906204,0.0964611,0.07149252,1.5699612,1.500139,0.084027745,0.008544251
3,1,0.12697808,0.10507114,0.2756201,0.22684813,0.07149252,1.5506508,1.5194494,0.11635989,0.051492162
4,1,0.12697808,0.6683634,0.31746027,0.2246355,0.07149252,1.5547793,1.5153209,0.074626625,0.05373369
5,0,0.12697808,0.041679405,0.37111154,0.3066372,0.07149252,1.5622437,1.4907511,0.11190684,0.0100416625
6,1,0.12697808,0.049985856,0.23003533,0.35105592,0.07149252,1.5469908,1.5231094,0.16182822,0.049050014
7,1,0.12697808,0.04,0.24746361,0.35168293,0.07149252,1.5707963,1.4993037,0.14444447,0.04998371
8,1,0.12697808,0.055,0.2586032,0.40108618,0.07149252,1.5707963,1.4993039,0.13333333,0.0505805
9,1,0.12697808,0.113350414,0.26888856,0.4205436,0.07149252,1.56512,1.5049802,0.12307423,0.051131528
10,0,0.12697808,0.033371914,0.3855522,0.49441275,0.07149252,1.5343575,1.462865,0.09750309,0.009268025
11,1,0.12697808,0.04331759,0.29941574,0.47738847,0.07149252,1.5438774,1.5262228,0.09262508,0.05276698
12,1,0.0847001,0.039952822,0.35120884,0.0367848,0.09175056,1.5222237,1.5276184,0.07259035,0.05327987
13,1,0.0847001,0.10507114,0.30728763,0.22807877,0.09175056,1.5506508,1.4991913,0.11632675,0.05026176
14,1,0.0847001,0.6683634,0.34917662,0.22522904,0.09175056,1.5547793,1.4950628,0.07461399,0.053140227
15,1,0.0847001,0.049985856,0.2616553,0.35298043,0.09175056,1.5469908,1.5028515,0.16176718,0.04712607
16,1,0.0847001,0.04,0.27905118,0.35334522,0.09175056,1.5707963,1.4790456,0.14444447,0.048321456
17,1,0.0847001,0.055,0.29020926,0.40257847,0.09175056,1.5707963,1.4790459,0.13333333,0.049088195
18,1,0.0847001,0.113350414,0.30052185,0.42187834,0.09175056,1.56512,1.4847221,0.1230641,0.049796842
19,1,0.0847001,0.04331759,0.33112082,0.47825623,0.09175056,1.5438774,1.5059648,0.09259385,0.05189949
20,0,0.1012026,0.041679405,0.47304142,0.233003,0.153573,1.5622437,1.425776,0.11274648,0.08367315
21,0,0.1012026,0.033371914,0.4847407,0.41861507,0.153573,1.5343575,1.4536622,0.1011849,0.08501537
22,1,0.06538949,0.039952822,0.40649423,0.014617155,0.18406652,1.5222237,1.4353025,0.07402545,0.07542137
23,1,0.06538949,0.10507114,0.36294195,0.20889376,0.18406652,1.5506508,1.4068754,0.11684203,0.069442876
24,1,0.06538949,0.6683634,0.4054148,0.20309323,0.18406652,1.5547793,1.4027469,0.07508665,0.07527319
25,1,0.06538949,0.049985856,0.31672907,0.33700278,0.18406652,1.5469908,1.4105355,0.1622743,0.06309916
26,1,0.06538949,0.04,0.33486527,0.33607793,0.18406652,1.5707963,1.3867297,0.14444447,0.06558875
27,1,0.06538949,0.055,0.3461673,0.38452646,0.18406652,1.5707963,1.38673,0.13333333,0.0671402
28,1,0.06538949,0.113350414,0.35646853,0.4031206,0.18406652,1.56512,1.3924062,0.12320614,0.06855427
29,1,0.06538949,0.04331759,0.38684633,0.4574239,0.18406652,1.5438774,1.4136488,0.09334147,0.072724275
30,1,0.048933115,0.039952822,0.34907722,0.052236136,0.061410833,1.5222237,1.5579582,0.07159001,0.037846763
31,1,0.048933115,0.10507114,0.30464518,0.24254186,0.061410833,1.5506508,1.5295311,0.115938306,0.03580159
32,1,0.048933115,0.6683634,0.3463775,0.24064875,0.061410833,1.5547793,1.5254027,0.07428467,0.037722494
33,0,0.048933115,0.041679405,0.42014754,0.31649154,0.061410833,1.5622437,1.5008329,0.1117944,0.00018764814
34,1,0.048933115,0.049985856,0.25915653,0.3664025,0.061410833,1.5469908,1.5331912,0.16134119,0.03370779
35,1,0.048933115,0.04,0.27608523,0.36717966,0.061410833,1.5707963,1.5093855,0.14444447,0.034486998
36,1,0.048933115,0.055,0.28721732,0.41666728,0.061410833,1.5707963,1.5093857,0.13333333,0.034999404
37,1,0.048933115,0.113350414,0.2976145,0.43619746,0.061410833,1.56512,1.515062,0.12295574,0.035477974
38,1,0.048933115,0.04331759,0.32857308,0.4932582,0.061410833,1.5438774,1.5363046,0.0920555,0.03690297
39,1,0.16468446,0.039952822,0.0634208,0.043408062,0.054701425,1.5222237,1.4675223,0.072161615,0.04666442
40,1,0.16468446,0.10507114,0.019237489,0.2298647,0.054701425,1.5506508,1.4959494,0.11627883,0.048476186
41,1,0.16468446,0.6683634,0.061101254,0.23161054,0.054701425,1.5547793,1.5000778,0.07447767,0.046759535
42,1,0.16468446,0.049985856,0.026421424,0.34975713,0.054701425,1.5469908,1.4922893,0.16186947,0.050348457
43,1,0.16468446,0.04,0.008970327,0.3520338,0.054701425,1.5707963,1.516095,0.14444447,0.049632862
44,1,0.16468446,0.055,0.002157429,0.4024901,0.054701425,1.5707963,1.5160948,0.13333333,0.049176563
45,1,0.16468446,0.113350414,0.012449924,0.4229207,0.054701425,1.56512,1.5104185,0.12305623,0.04875451
46,1,0.16468446,0.04331759,0.04311618,0.48266032,0.054701425,1.5438774,1.4891759,0.09243584,0.047497023
47,0,0.51781404,0.040300146,0.09253568,0.0043117427,0.0077194194,1.4699517,1.4622324,0.08300834,0.060725898
48,1,0.51781404,0.039952822,0.23391098,0.03422361,0.0077194194,1.5222237,1.5145043,0.07275617,0.055838045
49,0,0.51781404,0.82668424,0.09157438,0.044285003,0.0077194194,1.5699612,1.5622418,0.083969615,0.060720336
50,1,0.51781404,0.10507114,0.19018239,0.22224812,0.0077194194,1.5506508,1.5429314,0.11648345,0.05609121
51,1,0.51781404,0.6683634,0.23199531,0.22251979,0.0077194194,1.5547793,1.5470599,0.074671745,0.05584914
52,0,0.51781404,0.041679405,0.06306028,0.25612175,0.0077194194,1.5622437,1.5699631,0.11248286,0.06055525
53,1,0.51781404,0.049985856,0.14460438,0.3437488,0.0077194194,1.5469908,1.5392714,0.16206008,0.05635509
54,1,0.51781404,0.04,0.16222054,0.34541357,0.0077194194,1.5707963,1.5630771,0.14444447,0.056253098
55,1,0.51781404,0.055,0.17333207,0.3954779,0.0077194194,1.5707963,1.5630769,0.13333327,0.056188766
56,1,0.51781404,0.113350414,0.18355359,0.4155455,0.0077194194,1.56512,1.5574006,0.12311202,0.05612959
57,0,0.51781404,0.033371914,0.075544,0.4430191,0.0077194194,1.5343575,1.542077,0.09999952,0.060627524
58,1,0.51781404,0.04331759,0.21392713,0.47420055,0.0077194194,1.5438774,1.536158,0.0927394,0.055953745
59,1,0.05111111,0.10507114,0.2431265,0.12498627,0.0,1.5506508,1.5506508,0.11909574,0.15333334
60,1,0.05111111,0.6683634,0.28546834,0.12502308,0.0,1.5547793,1.5547793,0.076753855,0.15333334
61,0,0.05111111,0.041679405,0.47312582,0.16334027,0.0,1.5622437,1.5622437,0.11354085,0.15333334
62,1,0.05111111,0.049985856,0.19708334,0.24674307,0.0,1.5469908,1.5469908,0.1651389,0.15333334
63,1,0.05111111,0.04,0.21777777,0.24833333,0.0,1.5707963,1.5707963,0.14444447,0.15333334
64,1,0.05111111,0.053717244,0.16905524,0.44180313,0.0,1.4804958,1.4804958,0.19316697,0.15333334
65,1,0.05111111,0.055,0.22888888,0.29833335,0.0,1.5707963,1.5707963,0.13333333,0.15333334
66,1,0.05111111,0.113350414,0.2383745,0.31834018,0.0,1.56512,1.56512,0.12384772,0.15333334
67,0,0.05111111,0.033371914,0.48216102,0.3502517,0.0,1.5343575,1.5343575,0.10450565,0.15333334
68,1,0.05111111,0.04331759,0.26598695,0.37678567,0.0,1.5438774,1.5438774,0.096235275,0.15333334
69,1,0.05111111,0.04,0.22222222,0.45666668,0.0,1.5707963,1.5707963,0.13999999,0.15333334
70,0,0.05111111,0.038333334,0.4911111,0.46833333,0.0,1.5707963,1.5707963,0.09555556,0.15333334
71,2,0.7023113,0.82668424,0.017006306,0.0001612346,0.026332073,1.5699612,1.5452995,0.083,0.06847197
72,3,0.7023113,0.6683634,0.10424614,0.0011727373,0.026332073,1.5547793,1.5604814,0.09372181,0.052209377
73,3,0.7023113,0.049985856,0.007634618,0.49604523,0.026332073,1.5469908,1.56827,0.19029981,0.054117143
74,3,0.7023113,0.053717244,0.10070535,0.30211684,0.026332073,1.4804958,1.4541638,0.09726137,0.052279234
75,3,0.7023113,0.055,0.06462086,0.4403415,0.026332073,1.5707963,1.5444645,0.13333333,0.052991867
76,3,0.7023113,0.113350414,0.068100184,0.36206567,0.026332073,1.56512,1.5501407,0.12985522,0.052923203
77,2,0.7023113,0.033371914,0.04240231,0.3962618,0.026332073,1.5343575,1.5080255,0.14238802,0.06729889
78,2,0.7023113,0.17831288,0.09207125,0.23870663,0.026332073,1.5627692,1.5524915,0.19203974,0.066318035
79,3,0.7023113,0.04331759,0.07322356,0.37402913,0.026332073,1.5438774,1.5702094,0.12473363,0.052821934
80,3,0.7023113,0.04,0.057951946,0.29687643,0.026332073,1.5707963,1.5444642,0.13999993,0.053123593
81,2,0.7023113,0.038333334,0.0044463924,0.27177602,0.026332073,1.5707963,1.5444645,0.09555556,0.06822395
82,3,0.7023113,0.03345961,0.08110051,0.26095802,0.026332073,1.5199934,1.4936614,0.11685938,0.052666426
83,2,0.7023113,0.058333334,0.037790474,0.1859434,0.026332073,1.5707963,1.5444642,0.13777778,0.067389905
84,3,0.7023113,0.06,0.033498958,0.19472697,0.026332073,1.5707963,1.5444642,0.16444445,0.05360639
85,2,0.7023113,0.038333334,0.05335142,0.19625062,0.026332073,1.5707963,1.5444642,0.15333334,0.0670827
86,2,0.7023113,0.043333333,0.013338364,0.12993377,0.026332073,1.5707963,1.5444645,0.086666666,0.06839955
87,2,0.7023113,0.058497347,0.04704739,0.099448085,0.026332073,1.5265696,1.5002376,0.14703149,0.06720716
88,2,0.7023113,0.035,0.044459447,0.10607503,0.026332073,1.5707963,1.5444642,0.14444445,0.0672583
89,3,0.053371336,0.10507114,0.019135332,0.4328127,0.059237238,1.5506508,1.5317047,0.13689947,0.18393105
90,3,0.053371336,0.6683634,0.026892738,0.12852184,0.059237238,1.5547793,1.5275762,0.09095216,0.18188733
91,3,0.053371336,0.04,0.026693549,0.37406668,0.059237238,1.5707963,1.511559,0.14444447,0.18426669
92,3,0.053371336,0.053717244,0.004778755,0.17099264,0.059237238,1.4804958,1.4212586,0.113027334,0.1828692
93,3,0.053371336,0.055,0.015562914,0.3095609,0.059237238,1.5707963,1.5115592,0.13333333,0.18377244
94,3,0.053371336,0.113350414,0.011088108,0.23141296,0.059237238,1.56512,1.5172355,0.12886637,0.18357378
95,3,0.053371336,0.04331759,0.0022599595,0.24362211,0.059237238,1.5438774,1.5384781,0.12005371,0.18318176
96,3,0.053371336,0.04,0.022241296,0.16593105,0.059237238,1.5707963,1.511559,0.13999999,0.18406898
97,3,0.053371336,0.03345961,0.007941037,0.13002153,0.059237238,1.5199934,1.4607562,0.12572485,0.18343401
98,3,0.053371336,0.06,0.04672869,0.06317709,0.059237238,1.5707963,1.511559,0.16444445,0.18515623
99,2,0.048886012,0.82668424,0.33691743,0.09381717,0.010865113,1.5699612,1.5590961,0.08310428,0.16212791
100,3,0.048886012,0.10507114,0.39382374,0.4482661,0.010865113,1.5506508,1.5397857,0.1373145,0.16848081
101,3,0.048886012,0.6683634,0.43991056,0.11548921,0.010865113,1.5547793,1.5439142,0.09123045,0.16885638
102,2,0.048886012,0.041679405,0.29867595,0.47923252,0.010865113,1.5622437,1.568484,0.121343516,0.16243947
103,3,0.048886012,0.049985856,0.34445354,0.38205156,0.010865113,1.5469908,1.5361257,0.18668187,0.16807848
104,3,0.048886012,0.04,0.38669342,0.38991064,0.010865113,1.5707963,1.5599314,0.14444447,0.1684227
105,3,0.048886012,0.053717244,0.41982397,0.18522717,0.010865113,1.4804958,1.4913609,0.11131585,0.16869265
106,3,0.048886012,0.055,0.39780518,0.3248201,0.010865113,1.5707963,1.5599312,0.13333333,0.16851324
107,3,0.048886012,0.113350414,0.40215868,0.24643825,0.010865113,1.56512,1.5542549,0.1289801,0.16854876
108,2,0.048886012,0.033371914,0.2822614,0.3009242,0.010865113,1.5343575,1.5452226,0.13775708,0.16257322
109,2,0.048886012,0.17831288,0.22694045,0.14199753,0.010865113,1.5627692,1.5519041,0.19307476,0.16302401
110,3,0.048886012,0.04331759,0.41056272,0.25819194,0.010865113,1.5438774,1.5330123,0.12057656,0.16861719
111,3,0.048886012,0.04,0.39113814,0.18154109,0.010865113,1.5707963,1.5599314,0.13999999,0.16845894
112,2,0.048886012,0.038333334,0.32446542,0.17777064,0.010865113,1.5707963,1.5599312,0.09555556,0.16222936
113,3,0.048886012,0.03345961,0.40642104,0.14489126,0.010865113,1.5199934,1.5308585,0.12471801,0.16858345
114,2,0.048886012,0.058333334,0.2822407,0.09075994,0.010865113,1.5707963,1.5599314,0.13777778,0.1625734
115,3,0.048886012,0.06,0.36669225,0.080073595,0.010865113,1.5707963,1.5599314,0.16444445,0.16825974
116,2,0.048886012,0.038333334,0.26668423,0.10063314,0.010865113,1.5707963,1.5599314,0.15333332,0.16270018
117,2,0.048886012,0.043333333,0.33335483,0.036176454,0.010865113,1.5707963,1.5599312,0.086666666,0.16215688
118,2,0.048886012,0.058497347,0.27861583,0.0039588986,0.010865113,1.5265696,1.5374347,0.14140244,0.16260296
119,2,0.048886012,0.035,0.27557364,0.010705566,0.010865113,1.5707963,1.5599314,0.14444445,0.16262776
120,2,0.111123055,0.82668424,0.20359448,0.071337305,0.0064080465,1.5699612,1.5652235,0.083079256,0.13964802
121,3,0.111123055,0.10507114,0.46402964,0.48084813,0.0064080465,1.5506508,1.5570589,0.13818955,0.13590533
122,3,0.111123055,0.049985856,0.41452247,0.41399583,0.0064080465,1.5469908,1.5533988,0.18769574,0.13614327
123,3,0.111123055,0.04,0.45777464,0.42239797,0.0064080465,1.5707963,1.5643882,0.14444447,0.13593537
124,3,0.111123055,0.053717244,0.4948803,0.21829756,0.0064080465,1.4804958,1.4740877,0.10733956,0.13575703
125,3,0.111123055,0.055,0.46888596,0.35745126,0.0064080465,1.5707963,1.5643884,0.13333333,0.13588208
126,3,0.111123055,0.113350414,0.47299194,0.27912518,0.0064080465,1.56512,1.5700647,0.12922746,0.13586235
127,2,0.111123055,0.033371914,0.14778817,0.32413307,0.0064080465,1.5343575,1.5279495,0.13888441,0.1393798
128,2,0.111123055,0.17831288,0.09385251,0.16590175,0.0064080465,1.5627692,1.5691773,0.19281895,0.13912058
129,3,0.111123055,0.04331759,0.48046565,0.2909947,0.0064080465,1.5438774,1.5502855,0.12175387,0.13582629
130,3,0.111123055,0.04,0.46221918,0.214086,0.0064080465,1.5707963,1.5643882,0.13999999,0.13591403
131,2,0.111123055,0.038333334,0.19111791,0.20041199,0.0064080465,1.5707963,1.5643884,0.09555556,0.139588
132,3,0.111123055,0.03345961,0.47972196,0.17768703,0.0064080465,1.5199934,1.5135853,0.12249756,0.13582999
133,2,0.111123055,0.058333334,0.14889485,0.11394816,0.0064080465,1.5707963,1.5643882,0.13777778,0.13938516
134,3,0.111123055,0.06,0.4377742,0.11230184,0.0064080465,1.5707963,1.5643882,0.16444445,0.13603151
135,2,0.111123055,0.038333334,0.13333896,0.12402293,0.0064080465,1.5707963,1.5643882,0.15333334,0.13931042
136,2,0.111123055,0.043333333,0.20000699,0.058702596,0.0064080465,1.5707963,1.5643884,0.086666666,0.13963073
137,2,0.111123055,0.058497347,0.14389862,0.02722353,0.0064080465,1.5265696,1.5201615,0.14277388,0.13936108
138,2,0.111123055,0.035,0.14222802,0.033980206,0.0064080465,1.5707963,1.5643882,0.14444445,0.13935316
139,2,0.044485807,0.82668424,0.43483198,0.07833794,0.024723161,1.5699612,1.5469084,0.08308702,0.14664865
140,3,0.044485807,0.10507114,0.29954425,0.4845461,0.024723161,1.5506508,1.5662187,0.13828897,0.13220817
141,3,0.044485807,0.6683634,0.3458158,0.077978246,0.024723161,1.5547793,1.5620903,0.09203154,0.13135022
142,2,0.044485807,0.041679405,0.39637557,0.4957369,0.024723161,1.5622437,1.5375205,0.12153168,0.14593565
143,3,0.044485807,0.049985856,0.2500266,0.41701376,0.024723161,1.5469908,1.5698788,0.18779147,0.1331262
144,3,0.044485807,0.04,0.29338688,0.42601106,0.024723161,1.5707963,1.5460731,0.14444447,0.13232231
145,3,0.044485807,0.053717244,0.33100212,0.22244665,0.024723161,1.4804958,1.4557726,0.10684067,0.13162488
146,3,0.044485807,0.055,0.30450138,0.36121714,0.024723161,1.5707963,1.5460733,0.13333333,0.1321162
147,3,0.044485807,0.113350414,0.3085795,0.28294694,0.024723161,1.56512,1.5517496,0.12925643,0.13204062
148,2,0.044485807,0.033371914,0.37932092,0.3178893,0.024723161,1.5343575,1.5096344,0.1385811,0.14561939
149,2,0.044485807,0.17831288,0.3250077,0.16040972,0.024723161,1.5627692,1.5541004,0.19287774,0.14461243
150,3,0.044485807,0.04331759,0.31594357,0.29491833,0.024723161,1.5438774,1.5686005,0.12189466,0.13190407
151,3,0.044485807,0.04,0.29783267,0.21776012,0.024723161,1.5707963,1.5460731,0.13999999,0.13223988
152,2,0.044485807,0.038333334,0.42235968,0.19358267,0.024723161,1.5707963,1.5460733,0.09555552,0.14641732
153,3,0.044485807,0.03345961,0.3156064,0.18161178,0.024723161,1.5199934,1.4952703,0.12223172,0.13191032
154,2,0.044485807,0.058333334,0.3801245,0.10769898,0.024723161,1.5707963,1.5460731,0.13777778,0.14563435
155,3,0.044485807,0.06,0.27338076,0.11564005,0.024723161,1.5707963,1.5460731,0.16444445,0.13269329
156,2,0.044485807,0.038333334,0.36456424,0.11798747,0.024723161,1.5707963,1.5460731,0.1533333,0.14534587
157,2,0.044485807,0.043333333,0.43125123,0.0517511,0.024723161,1.5707963,1.5460733,0.0866667,0.14658225
158,2,0.044485807,0.058497347,0.37549213,0.021030137,0.024723161,1.5265696,1.5018464,0.14240876,0.1455484
159,2,0.044485807,0.035,0.37345582,0.027822673,0.024723161,1.5707963,1.5460731,0.14444445,0.14551067
160,2,0.07335155,0.82668424,0.24586736,0.03199342,0.009765205,1.5699612,1.5618664,0.08303545,0.10030419
161,3,0.07335155,0.049985856,0.40877768,0.4551773,0.009765205,1.5469908,1.5567559,0.1890027,0.094973445
162,3,0.07335155,0.04,0.45333806,0.4636861,0.009765205,1.5707963,1.5610311,0.14444447,0.09464723
163,3,0.07335155,0.053717244,0.49544525,0.25988516,0.009765205,1.4804958,1.4707307,0.10233921,0.094338894
164,3,0.07335155,0.055,0.46444967,0.3987675,0.009765205,1.5707963,1.5610313,0.13333333,0.09456581
165,3,0.07335155,0.113350414,0.4682429,0.3204501,0.009765205,1.56512,1.5667076,0.12954026,0.09453809
166,2,0.07335155,0.033371914,0.18809573,0.36365792,0.009765205,1.5343575,1.5245924,0.14080432,0.09988117
167,2,0.07335155,0.17831288,0.13650265,0.20552024,0.009765205,1.5627692,1.5690584,0.19239496,0.0995034
168,3,0.07335155,0.04331759,0.47454584,0.3323441,0.009765205,1.5438774,1.5536425,0.12323767,0.0944919
169,3,0.07335155,0.04,0.4577827,0.25538534,0.009765205,1.5707963,1.5610311,0.13999999,0.094614685
170,2,0.07335155,0.038333334,0.23334664,0.23978749,0.009765205,1.5707963,1.5610313,0.09555557,0.100212514
171,3,0.07335155,0.03345961,0.47809052,0.21910448,0.009765205,1.5199934,1.5102283,0.1196931,0.09446597
172,2,0.07335155,0.058333334,0.19112241,0.15343007,0.009765205,1.5707963,1.5610311,0.13777778,0.099903286
173,3,0.07335155,0.06,0.43333706,0.15353973,0.009765205,1.5707963,1.5610311,0.16444445,0.09479362
174,2,0.07335155,0.038333334,0.17556614,0.16354391,0.009765205,1.5707963,1.5610311,0.15333334,0.09978944
175,2,0.07335155,0.043333333,0.24223597,0.09805573,0.009765205,1.5707963,1.5610313,0.086666666,0.1002776
176,2,0.07335155,0.058497347,0.18379454,0.066773616,0.009765205,1.5265696,1.5168045,0.14510532,0.09984964
177,2,0.07335155,0.035,0.18445542,0.0734789,0.009765205,1.5707963,1.5610311,0.14444445,0.09985441
178,2,0.07557455,0.82668424,0.24586527,0.019134324,0.010375351,1.5699612,1.5612562,0.08302114,0.08744508
179,3,0.07557455,0.049985856,0.40615672,0.46837017,0.010375351,1.5469908,1.5573661,0.18942147,0.08178437
180,3,0.07557455,0.04,0.45113614,0.4768989,0.010375351,1.5707963,1.5604209,0.14444447,0.08143443
181,3,0.07557455,0.053717244,0.4948428,0.27318385,0.010375351,1.4804958,1.4701204,0.100740135,0.081094384
182,3,0.07557455,0.055,0.46224785,0.41198537,0.010375351,1.5707963,1.5604211,0.13333333,0.08134794
183,3,0.07557455,0.113350414,0.4659411,0.33366922,0.010375351,1.56512,1.5660974,0.12964028,0.08131915
184,2,0.07557455,0.033371914,0.1874524,0.376557,0.010375351,1.5343575,1.5239822,0.14143087,0.086990654
185,2,0.07557455,0.17831288,0.13662377,0.21842888,0.010375351,1.5627692,1.5684482,0.19225678,0.08659518
186,3,0.07557455,0.04331759,0.4718696,0.34556767,0.010375351,1.5438774,1.5542527,0.12371218,0.08127308
187,3,0.07557455,0.04,0.45558086,0.26860017,0.010375351,1.5707963,1.5604209,0.13999999,0.08139986
188,2,0.07557455,0.038333334,0.23333016,0.2526525,0.010375351,1.5707963,1.5604211,0.09555557,0.08734751
189,3,0.07557455,0.03345961,0.4767859,0.2323527,0.010375351,1.5199934,1.509618,0.11879611,0.08123487
190,2,0.07557455,0.058333334,0.19110568,0.16631429,0.010375351,1.5707963,1.5604209,0.13777778,0.08701903
191,3,0.07557455,0.06,0.4311351,0.16674337,0.010375351,1.5707963,1.5604209,0.16444445,0.08158994
