id,posnum,seglen_hor,seglen_ver,segdist_hor,segdist_ver,segdeg_hor,segdeg_ver,cross_deg,dist_hor,dist_ver
0,0,0.8577818,0.8718528,0.02407316,0.039101377,0.00920947,1.5475338,1.5383242,0.10260562,0.04093232
1,1,0.8577818,0.89389366,0.07855002,0.029617997,0.00920947,1.5341976,1.5434071,0.09412342,0.035383884
2,1,0.8577818,0.7244948,0.11986918,0.10306424,0.00920947,1.5486724,1.5394629,0.13544083,0.035669275
3,0,0.8577818,0.7132617,0.03726931,0.10616769,0.00920947,1.5655899,1.5667933,0.16394548,0.040508628
4,1,0.8577818,0.05022459,0.06228549,0.2753433,0.00920947,1.5025357,1.5117452,0.07785958,0.035271548
5,1,0.8577818,0.0417987,0.0021214008,0.33775944,0.00920947,1.4981622,1.4889526,0.013455391,0.03482669
6,0,0.89780104,0.8718528,0.0022616468,0.027475484,0.0036010777,1.5475338,1.5439327,0.10224505,0.052555066
7,1,0.89780104,0.89389366,0.09117036,0.014609208,0.0036010777,1.5341976,1.5377986,0.09339112,0.05038262
8,1,0.89780104,0.7244948,0.13365789,0.08823251,0.0036010777,1.5486724,1.5450714,0.13587838,0.05049737
9,0,0.89780104,0.7132617,0.064044945,0.09428796,0.0036010777,1.5655899,1.569191,0.16402794,0.0523882
10,1,0.89780104,0.05022459,0.07426541,0.26024273,0.0036010777,1.5025357,1.5061368,0.07648629,0.050336964
11,1,0.89780104,0.0417987,0.012722861,0.3223748,0.0036010777,1.4981622,1.4945611,0.014944136,0.05017075
12,0,0.80463946,0.8718528,0.00041605998,0.009028246,0.009962738,1.5475338,1.537571,0.101672925,0.07099731
13,1,0.80463946,0.89389366,0.00063296594,4.7835215e-06,0.009962738,1.5341976,1.5441604,0.09267855,0.064977266
14,1,0.80463946,0.7244948,0.04300574,0.07342293,0.009962738,1.5486724,1.5387096,0.1363151,0.06530333
15,0,0.80463946,0.7132617,0.06206802,0.07614547,0.009962738,1.5655899,1.56604,0.1641539,0.07053044
16,1,0.80463946,0.05022459,0.01814862,0.24569944,0.009962738,1.5025357,1.5124984,0.07516378,0.06484639
17,1,0.80463946,0.0417987,0.07699011,0.3081012,0.009962738,1.4981622,1.4881995,0.016325235,0.06440673
18,0,0.6222139,0.8718528,0.08294823,0.068041965,0.0007650693,1.5475338,1.5482988,0.09928267,0.14804667
19,1,0.6222139,0.89389366,0.106955126,0.08358658,0.0007650693,1.5341976,1.5334325,0.0886004,0.14851265
20,1,0.6222139,0.7244948,0.056786243,0.009777962,0.0007650693,1.5486724,1.5494375,0.13876927,0.14848386
