id,posnum,seglen_hor,seglen_ver,segdist_hor,segdist_ver,segdeg_hor,segdeg_ver,cross_deg,dist_hor,dist_ver
0,1,0.06035051,0.8938937,0.25292653,0.035266966,0.085759684,1.534167,1.4484074,0.094496906,0.029741328
1,1,0.06035051,0.7285061,0.18961865,0.11255198,0.085759684,1.561856,1.4760964,0.15757215,0.025674371
2,1,0.06035051,0.086677425,0.2903782,0.2712263,0.085759684,1.5513554,1.4655957,0.057182908,0.032147262
3,1,0.06035051,0.061673228,0.2731602,0.4495183,0.085759684,1.5210011,1.4352415,0.07433766,0.031041162
4,1,0.8666556,0.8938937,0.09202732,0.031339765,0.0127986,1.534167,1.5469656,0.09430522,0.0336659
5,0,0.8666556,0.86856383,0.030227102,0.041910823,0.0127986,1.5495242,1.5367256,0.100905284,0.04139145
6,1,0.8666556,0.7285061,0.15519698,0.10395378,0.0127986,1.561856,1.5669382,0.15746969,0.034272246
7,0,0.8666556,0.71331644,0.035245195,0.10591437,0.0127986,1.5691191,1.5596751,0.16637222,0.040763006
8,1,0.8666556,0.086677425,0.054871775,0.2700641,0.0127986,1.5513554,1.5641539,0.05715269,0.033309255
9,1,0.8666556,0.061673228,0.07189656,0.44708374,0.0127986,1.5210011,1.5337996,0.07417607,0.033472672
10,1,0.90894157,0.8938937,0.09131439,0.015838236,0.008745393,1.534167,1.5429125,0.0935483,0.049157027
11,0,0.90894157,0.86856383,0.011679728,0.02885612,0.008745393,1.5495242,1.5407788,0.10053504,0.054443207
12,1,0.90894157,0.7285061,0.15505572,0.0886503,0.008745393,1.561856,1.5706015,0.15728718,0.049575105
13,0,0.90894157,0.71331644,0.07754905,0.09266618,0.008745393,1.5691191,1.5637282,0.16640185,0.054011174
14,1,0.90894157,0.086677425,0.054512855,0.25445473,0.008745393,1.5513554,1.5601008,0.05674821,0.04891565
15,1,0.90894157,0.061673228,0.07090807,0.43151394,0.008745393,1.5210011,1.5297465,0.07314277,0.049023185
16,1,0.80455893,0.8938937,0.00055970455,0.0003979291,0.0066049597,1.534167,1.540772,0.092755616,0.0653823
17,0,0.80455893,0.86856383,0.0020320911,0.013915273,0.0066049597,1.5495242,1.5429193,0.100111306,0.06938067
18,1,0.80455893,0.7285061,0.06378123,0.07252374,0.0066049597,1.561856,1.568461,0.15709513,0.06570103
19,0,0.80455893,0.71331644,0.06429353,0.07762521,0.0066049597,1.5691191,1.5658687,0.16643548,0.069052115
20,1,0.80455893,0.086677425,0.036990143,0.23816548,0.0066049597,1.5513554,1.5579603,0.056325972,0.065201834
21,1,0.80455893,0.061673228,0.021253312,0.41523716,0.0066049597,1.5210011,1.527606,0.07206243,0.0652798
22,1,0.6488676,0.8938937,0.0802662,0.08462745,0.0037380606,1.534167,1.530429,0.088642776,0.14955533
23,0,0.6488676,0.86856383,0.084327444,0.063996434,0.0037380606,1.5495242,1.5532622,0.09790168,0.14727475
24,1,0.6488676,0.7285061,0.012810827,0.011144791,0.0037380606,1.561856,1.558118,0.15609771,0.14936621
25,0,0.6488676,0.71331644,0.015617802,0.00079016475,0.0037380606,1.5691191,1.565381,0.16661084,0.14746739
26,1,0.6488676,0.086677425,0.114772536,0.15369928,0.0037380606,1.5513554,1.5476173,0.054136693,0.14965206
27,1,0.6488676,0.061673228,0.102450736,0.33079475,0.0037380606,1.5210011,1.517263,0.066458404,0.14961751
28,1,0.05336255,0.8938937,0.41552073,0.058477458,0.066921815,1.534167,1.5405039,0.08991969,0.123422876
29,0,0.05336255,0.86856383,0.3456007,0.080997966,0.066921815,1.5495242,1.4826024,0.0974195,0.16427244
30,1,0.05336255,0.7285061,0.3489242,0.011459365,0.066921815,1.561856,1.5128149,0.15636718,0.12676296
31,0,0.05336255,0.71331644,0.27622423,0.014115734,0.066921815,1.5691191,1.5055518,0.16664064,0.16079293
32,1,0.05336255,0.086677425,0.45065692,0.18169597,0.066921815,1.5513554,1.5233155,0.0548622,0.121660665
33,1,0.05336255,0.061673228,0.4372178,0.3581114,0.066921815,1.5210011,1.5536698,0.06827122,0.1223347
34,1,0.0781796,0.8938937,0.27656284,0.09264649,0.062120043,1.534167,1.472047,0.08825129,0.15756898
35,0,0.0781796,0.86856383,0.45989197,0.036354963,0.062120043,1.5495242,1.5299485,0.09868561,0.11963954
36,1,0.0781796,0.7285061,0.20864551,0.016185516,0.062120043,1.561856,1.499736,0.15603757,0.15440674
37,0,0.0781796,0.71331644,0.39189073,0.023871569,0.062120043,1.5691191,1.506999,0.16655569,0.122805685
38,1,0.0781796,0.086677425,0.31099066,0.1441776,0.062120043,1.5513554,1.4892353,0.05388981,0.15917194
39,1,0.0781796,0.061673228,0.29899678,0.32178763,0.062120043,1.5210011,1.458881,0.06586057,0.1586135
40,1,0.053377327,0.8938937,0.21332203,0.07331837,0.050833076,1.534167,1.5565926,0.08919501,0.13825384
41,1,0.053377327,0.7285061,0.14623068,0.0025888206,0.050833076,1.561856,1.5289036,0.1561997,0.14081058
42,0,0.053377327,0.71331644,0.4784144,0.019971723,0.050833076,1.5691191,1.5216405,0.16665375,0.16664891
43,1,0.053377327,0.086677425,0.24809553,0.16642506,0.050833076,1.5513554,1.5394043,0.054466426,0.13692868
44,1,0.053377327,0.061673228,0.23527633,0.34301022,0.050833076,1.5210011,1.5697585,0.06726909,0.1374172
45,3,0.09111057,0.8938937,0.23000297,0.15420423,0.0040433705,1.534167,1.5301237,0.056657314,0.195822
46,3,0.09111057,0.7285061,0.13836437,0.06280123,0.0040433705,1.561856,1.5578127,0.14829516,0.19609988
47,2,0.09111057,0.71331644,0.45416132,0.05816572,0.0040433705,1.5691191,1.5650758,0.1680742,0.19817299
48,3,0.09111057,0.086677425,0.24949354,0.41433206,0.0040433705,1.5513554,1.547312,0.037166893,0.19576287
49,3,0.09111057,0.061673228,0.26370353,0.26300716,0.0040433705,1.5210011,1.5169578,0.022957027,0.19571978
50,3,0.05794789,0.8938937,0.38832146,0.074748114,0.07226851,1.534167,1.4618986,0.05277759,0.116419196
51,2,0.05794789,0.86856383,0.424874,0.11528141,0.07226851,1.5495242,1.5198001,0.078353,0.16359526
52,3,0.05794789,0.7285061,0.29344475,0.0117445495,0.07226851,1.561856,1.4895875,0.14740664,0.12155712
53,2,0.05794789,0.71331644,0.33482954,0.018711677,0.07226851,1.5691191,1.4968506,0.1681624,0.158719
54,3,0.05794789,0.086677425,0.40606028,0.4946516,0.07226851,1.5513554,1.4790869,0.035085022,0.11545855
55,3,0.05794789,0.061673228,0.4236306,0.34432074,0.07226851,1.5210011,1.4487326,0.017560542,0.11450702
56,3,0.05794789,0.056691006,0.3558866,0.018470723,0.07226851,1.5441197,1.4718512,0.08512777,0.118175685
57,3,0.69115925,0.8938937,0.08835731,0.09640571,0.003173498,1.534167,1.5309936,0.053835094,0.13806224
58,2,0.69115925,0.86856383,0.0889653,0.09181022,0.003173498,1.5495242,1.5526977,0.077687375,0.14012939
59,3,0.69115925,0.7285061,0.005414117,0.004984432,0.003173498,1.561856,1.5586826,0.14760607,0.1382854
60,2,0.69115925,0.71331644,0.0015522673,9.338391e-05,0.003173498,1.5691191,1.5659456,0.16820449,0.13991392
61,3,0.69115925,0.086677425,0.10652261,0.4720869,0.003173498,1.5513554,1.5481819,0.035669923,0.13801903
62,3,0.69115925,0.061673228,0.12307231,0.3208191,0.003173498,1.5210011,1.5178276,0.019120276,0.1379795
63,3,0.69115925,0.056691006,0.056354314,0.001499048,0.003173498,1.5441197,1.5409462,0.08583796,0.13813835
64,3,0.8645151,0.8938937,0.0043078726,0.0019599325,0.009989714,1.534167,1.5241773,0.049032092,0.039762557
65,2,0.8645151,0.86856383,0.0071622063,0.0020148193,0.009989714,1.5495242,1.5595139,0.07502643,0.046325564
66,3,0.8645151,0.7285061,0.093105026,0.092812546,0.009989714,1.561856,1.5518663,0.14644015,0.040492356
67,2,0.8645151,0.71331644,0.08623138,0.094381645,0.009989714,1.5691191,1.5591294,0.16841535,0.045625806
68,3,0.8645151,0.061673228,0.04076599,0.41943142,0.009989714,1.5210011,1.5110114,0.012575805,0.039489448
69,3,0.8645151,0.056691006,0.02900854,0.096662104,0.009989714,1.5441197,1.53413,0.08234686,0.04001212
70,3,0.8645151,0.034988936,0.010647029,0.03849712,0.009989714,1.5457076,1.5357178,0.0639863,0.039874554
