id,posnum,seglen_hor,seglen_ver,segdist_hor,segdist_ver,segdeg_hor,segdeg_ver,cross_deg,dist_hor,dist_ver
0,0,0.55385,0.09165066,0.000557857,0.047064763,0.005978878,1.5310762,1.5250974,0.040628828,0.060395774
1,1,0.55385,0.03681236,0.38016453,0.018001413,0.005978878,1.4974273,1.4914485,0.02481544,0.05294556
2,1,0.55385,0.2719909,0.37375808,0.06875202,0.005978878,1.5172428,1.511264,0.031221747,0.052996635
3,1,0.55385,0.59499407,0.3645159,0.283598,0.005978878,1.5698503,1.5657636,0.040463805,0.053070314
4,1,0.55385,0.040283434,0.34633014,0.018725673,0.005978878,1.4092674,1.4152462,0.058649242,0.053215284
5,1,0.55385,0.038323395,0.38796765,0.043795105,0.005978878,1.5480278,1.5540066,0.017012477,0.05288336
6,1,0.55385,0.2350634,0.3803553,0.045391753,0.005978878,1.5571433,1.5511645,0.024624705,0.05294404
7,0,0.55385,0.8200578,0.0016833034,0.04627343,0.005978878,1.560726,1.5667049,0.042869948,0.06037791
8,1,0.55385,0.24999474,0.40216932,0.05903288,0.005978878,1.5311277,1.5251489,0.0028110743,0.05277015
9,1,0.55385,0.09513172,0.3332829,0.07181228,0.005978878,1.5071836,1.5012047,0.07169622,0.053319294
10,0,0.55385,0.03836411,0.0072819204,0.1112721,0.005978878,1.5441858,1.5382069,0.033904888,0.060449377
11,1,0.55385,0.19349818,0.26161775,0.12616825,0.005978878,1.5400296,1.5340508,0.14336014,0.053890597
12,1,0.55385,0.17828773,0.24931084,0.1327578,0.005978878,1.5569382,1.562917,0.15566683,0.053988706
13,1,0.55385,0.03496653,0.3258824,0.13331796,0.005978878,1.5537649,1.5477861,0.079096615,0.053378288
14,1,0.55385,0.038469836,0.31078565,0.13349874,0.005978878,1.5046463,1.4986675,0.0941931,0.053498637
15,0,0.55385,0.045005243,0.027954366,0.12938833,0.005978878,1.5674984,1.5615196,0.01323281,0.06061418
16,1,0.55385,0.035038423,0.28336897,0.15807062,0.005978878,1.5316621,1.5256833,0.12160927,0.0537172
17,0,0.55385,0.035037387,0.025200313,0.15321693,0.005978878,1.5345869,1.5405657,0.066386536,0.060190435
18,0,0.55385,0.16832112,0.037126508,0.15990184,0.005978878,1.570105,1.5641261,0.07831252,0.060095366
19,1,0.55385,0.039982803,0.3890835,0.18880393,0.005978878,1.5615174,1.5555385,0.015896618,0.052874465
