id,posnum,seglen_hor,seglen_ver,segdist_hor,segdist_ver,segdeg_hor,segdeg_ver,cross_deg,dist_hor,dist_ver
0,1,0.1385811,0.04191573,0.3830549,0.028631173,0.18641457,1.5001209,1.4550573,0.16353297,0.07813022
1,1,0.1385811,0.040176008,0.3978316,0.02811888,0.18641457,1.5290353,1.4261428,0.14901233,0.08018421
2,1,0.1385811,0.038366675,0.35625088,0.03401019,0.18641457,1.5151042,1.3286896,0.18987262,0.07440438
3,1,0.1385811,0.04168756,0.43815863,0.022563228,0.18641457,1.5622361,1.3758215,0.10938394,0.08578978
4,1,0.1385811,0.11665816,0.4619341,0.02091082,0.18641457,1.5667839,1.3803693,0.08602035,0.089094624
5,1,0.1385811,0.03836812,0.4156089,0.027374871,0.18641457,1.5359685,1.4192096,0.13154298,0.082655296
6,1,0.1385811,0.11683327,0.4518874,0.022258725,0.18641457,1.5510775,1.4041007,0.095893025,0.087698095
7,1,0.1385811,0.035,0.4296168,0.028730895,0.18641457,1.5707963,1.3843819,0.117777765,0.08460244
8,1,0.1385811,0.033333335,0.40248004,0.034169655,0.18641457,1.5707963,1.3843819,0.14444447,0.08083034
9,1,0.1385811,0.046692476,0.47878355,0.028583985,0.18641457,1.5480888,1.4070894,0.069462895,0.09143672
10,1,0.1385811,0.041655056,0.35269648,0.11113687,0.18641457,1.5471743,1.4080038,0.19336545,0.0739103
11,1,0.1385811,0.04002225,0.35880396,0.11192835,0.18641457,1.5541016,1.367687,0.1873638,0.07475927
12,1,0.1385811,0.040001053,0.3911091,0.10741684,0.18641457,1.5701554,1.3850228,0.15561837,0.07924977
13,1,0.1385811,0.038320202,0.3722086,0.11007683,0.18641457,1.5446097,1.4105685,0.17419142,0.076622546
14,1,0.1385811,0.040023986,0.3698099,0.11040326,0.18641457,1.5523013,1.3658867,0.17654854,0.07628911
15,1,0.1385811,0.03847047,0.40040088,0.10789423,0.18641457,1.5108979,1.3244833,0.14648753,0.08054134
16,1,0.1385811,0.038465913,0.43601614,0.103039265,0.18641457,1.5091113,1.4460669,0.111489296,0.085491955
17,1,0.1385811,0.038465034,0.44375733,0.10181833,0.18641457,1.5159276,1.4392506,0.10388225,0.08656799
