id,posnum,seglen_hor,seglen_ver,segdist_hor,segdist_ver,segdeg_hor,segdeg_ver,cross_deg,dist_hor,dist_ver
0,1,0.051543202,0.0350297,0.10979586,0.0457735,0.12394432,1.5470513,1.423107,0.039780676,0.040915936
1,1,0.051543202,0.7633256,0.10856586,0.13754095,0.12394432,1.5662798,1.4423355,0.04100126,0.040801894
2,1,0.051543202,0.058354,0.027335348,0.2469142,0.12394432,1.5318755,1.4079312,0.121608615,0.03327016
3,1,0.051543202,0.074999735,0.04151565,0.26811516,0.12394432,1.5680199,1.4496286,0.18993145,0.02688627
4,1,0.051543202,0.08833315,0.005723704,0.25040108,0.12394432,1.5687822,1.4448379,0.14305449,0.031266324
5,1,0.051543202,0.053418994,0.14232992,0.44968715,0.12394432,1.5345945,1.4830539,0.007496178,0.04393251
6,0,0.76043075,0.8450038,0.07069673,0.0056612766,0.024786226,1.5642998,1.5395136,0.062479556,0.076006554
7,1,0.76043075,0.0350297,0.067470476,0.027380625,0.024786226,1.5470513,1.5697552,0.03919846,0.059303626
8,1,0.76043075,0.7633256,0.06577874,0.11900758,0.024786226,1.5662798,1.5505267,0.04088968,0.05933507
9,0,0.76043075,0.06001645,0.052088026,0.18435651,0.024786226,1.5579824,1.5588241,0.081082545,0.07566066
10,0,0.76043075,0.09833321,0.011514428,0.19842729,0.024786226,1.569156,1.5476505,0.12164368,0.07490649
11,1,0.76043075,0.058354,0.013534702,0.21935415,0.024786226,1.5318755,1.5566617,0.12017876,0.060809333
12,1,0.76043075,0.074999735,0.08343932,0.23289259,0.024786226,1.5680199,1.5432336,0.19006193,0.0621087
13,1,0.76043075,0.08833315,0.03633691,0.22043416,0.024786226,1.5687822,1.5480243,0.14297396,0.061233178
14,0,0.76043075,0.065,0.02685368,0.23247334,0.024786226,1.5707963,1.54601,0.16,0.07419331
15,0,0.76043075,0.26001087,0.062072042,0.29916236,0.024786226,1.5625788,1.5377926,0.0711016,0.07584624
16,1,0.76043075,0.053418994,0.098467745,0.43488246,0.024786226,1.5345945,1.5098083,0.008210719,0.058727454
17,0,0.07828272,0.8450038,0.0018946066,0.0022800863,0.107948065,1.5642998,1.4563518,0.062450267,0.07938767
18,0,0.07828272,0.06001645,0.016884726,0.18214676,0.107948065,1.5579824,1.4756622,0.08112029,0.07787023
19,0,0.07828272,0.09833321,0.057644647,0.19875711,0.107948065,1.569156,1.4644886,0.121642955,0.07457666
20,0,0.07828272,0.26001087,0.006776066,0.29632148,0.107948065,1.5625788,1.4546307,0.07107047,0.07868704
21,1,0.057777777,0.7633256,0.10174805,0.05000862,0.0,1.5662798,1.5662798,0.040474176,0.12833333
22,1,0.057777777,0.058354,0.025549317,0.15177897,0.0,1.5318755,1.5318755,0.11667293,0.12833333
23,1,0.057777777,0.074999735,0.048084784,0.1666677,0.0,1.5680199,1.5680199,0.19030702,0.12833333
24,1,0.057777777,0.08833315,0.00057156035,0.15333387,0.0,1.5687822,1.5687822,0.14279377,0.12833333
25,1,0.057777777,0.053418994,0.13065036,0.36523098,0.0,1.5345945,1.5345945,0.011571884,0.12833333
26,0,0.593382,0.8450038,0.30732405,0.10174078,0.0054522,1.5642998,1.5588477,0.061549243,0.18340635
27,1,0.593382,0.7633256,0.0024066523,0.0013916537,0.0054522,1.5662798,1.5698608,0.04016465,0.17973308
28,0,0.593382,0.06001645,0.28595096,0.07668938,0.0054522,1.5579824,1.5634346,0.08292199,0.18331896
29,0,0.593382,0.09833321,0.24699196,0.090174,0.0054522,1.569156,1.5669845,0.12188043,0.18315963
30,1,0.593382,0.058354,0.07623161,0.10003815,0.0054522,1.5318755,1.5373276,0.11398852,0.18003497
31,1,0.593382,0.074999735,0.15274377,0.11465299,0.0054522,1.5680199,1.5625677,0.19049954,0.18034783
32,1,0.593382,0.08833315,0.10489814,0.10151493,0.0054522,1.5687822,1.5673584,0.1426546,0.18015218
33,0,0.593382,0.065,0.20887181,0.12366291,0.0054522,1.5707963,1.5653441,0.16,0.18300375
34,0,0.593382,0.26001087,0.29894972,0.19163288,0.0054522,1.5625788,1.5571266,0.06992344,0.18337211
35,1,0.593382,0.053418994,0.023709595,0.31390437,0.0054522,1.5345945,1.5291424,0.014048815,0.17962629
36,2,0.88244534,0.8450038,0.0026150434,0.0028898723,0.019837784,1.5642998,1.5574552,0.055086106,0.070456564
37,3,0.88244534,0.7633256,0.024464652,0.0014155213,0.019837784,1.5662798,1.546442,0.03556776,0.056925237
38,2,0.88244534,0.26001087,0.0040467875,0.29465187,0.019837784,1.5625788,1.5591762,0.061746627,0.07035744
39,3,0.88244534,0.053418994,0.00912567,0.3963973,0.019837784,1.5345945,1.5544323,0.050903738,0.057153404
40,2,0.88244534,0.043440126,0.00975383,0.14230332,0.019837784,1.462779,1.4826168,0.06745254,0.070272505
41,2,0.88244534,0.14667593,0.034334052,0.0051055267,0.019837784,1.557597,1.564158,0.09202793,0.06990695
42,2,0.88244534,0.060369052,0.041356806,0.0035872476,0.019837784,1.4626356,1.4824734,0.09904931,0.06980246
43,3,0.06232265,0.7633256,0.0042843986,0.010335799,0.028141282,1.5662798,1.5381385,0.03563851,0.06867647
44,3,0.06232265,0.053418994,0.010415299,0.38455626,0.028141282,1.5345945,1.5627358,0.050332367,0.068986714
45,2,0.07111111,0.8450038,0.124975584,0.010013232,0.0,1.5642998,1.5642998,0.055024415,0.06333333
46,2,0.07111111,0.26001087,0.118330345,0.30167624,0.0,1.5625788,1.5625788,0.06166966,0.06333333
47,2,0.07111111,0.043440126,0.113550775,0.14928319,0.0,1.462779,1.462779,0.06644923,0.06333333
48,2,0.07111111,0.14667593,0.08808775,0.0116796885,0.0,1.557597,1.557597,0.09191225,0.06333333
49,2,0.07111111,0.060369052,0.081887275,0.010094388,0.0,1.4626356,1.4626356,0.098112725,0.06333333
50,2,0.6555934,0.8450038,0.058445096,0.016133966,0.0213051,1.5642998,1.5559878,0.05497139,0.05721271
51,3,0.6555934,0.7633256,0.19571464,0.015663816,0.0213051,1.5662798,1.5449747,0.03548193,0.042677104
52,2,0.6555934,0.26001087,0.05181353,0.30790305,0.0213051,1.5625788,1.5577089,0.061601445,0.057106733
53,3,0.6555934,0.053418994,0.17960246,0.4106255,0.0213051,1.5345945,1.5558996,0.051590443,0.042934597
54,2,0.6555934,0.043440126,0.047874235,0.15560964,0.0213051,1.462779,1.4840841,0.065539844,0.05704379
55,2,0.6555934,0.14667593,0.021613963,0.01838936,0.0213051,1.557597,1.5626906,0.09179416,0.056624234
56,2,0.6555934,0.060369052,0.016277872,0.016928658,0.0213051,1.4626356,1.4839407,0.09712904,0.056539
57,2,0.0510919,0.8450038,0.22297668,0.02303078,0.0274079,1.5642998,1.549885,0.05491165,0.050316036
58,2,0.0510919,0.26001087,0.21636032,0.31482998,0.0274079,1.5625788,1.551606,0.061525524,0.050180078
59,2,0.0510919,0.043440126,0.2133462,0.16257589,0.0274079,1.462779,1.4901869,0.06453851,0.05011809
60,2,0.0510919,0.14667593,0.1862047,0.02545398,0.0274079,1.557597,1.5565878,0.09166982,0.04956025
61,2,0.0510919,0.060369052,0.18176739,0.02404012,0.0274079,1.4626356,1.4900435,0.096105464,0.049469113
