id,posnum,seglen_hor,seglen_ver,segdist_hor,segdist_ver,segdeg_hor,segdeg_ver,cross_deg,dist_hor,dist_ver
0,0,0.035033695,0.85356724,0.3107736,0.009594139,0.06604144,1.5464411,1.4803996,0.038278528,0.05040128
1,0,0.035033695,0.8490683,0.30452135,0.021289557,0.06604144,1.5481979,1.4821564,0.04451716,0.049851134
2,1,0.041675664,0.6269607,0.2147459,0.04603827,0.005830835,1.544852,1.5506829,0.060257375,0.04064714
3,1,0.041675664,0.082341835,0.105870225,0.14760248,0.005830835,1.5200233,1.5141925,0.16913116,0.041493587
4,1,0.041675664,0.046666667,0.095001206,0.17397748,0.005830835,1.5707963,1.5649656,0.18,0.041578084
5,1,0.041675664,0.0557303,0.1703567,0.17716286,0.005830835,1.500915,1.4950842,0.10464579,0.04099224
6,1,0.0416644,0.6269607,0.037737187,0.06407698,0.010300922,1.544852,1.5551529,0.060608327,0.0226145
7,1,0.0416644,0.0557303,0.0053689373,0.19499208,0.010300922,1.500915,1.4906142,0.10371214,0.023206536
8,1,0.075061336,0.6269607,0.48470026,0.014028633,0.0628138,1.544852,1.4820383,0.059634626,0.07264601
9,1,0.075061336,0.082341835,0.374151,0.12567441,0.0628138,1.5200233,1.5587556,0.1699658,0.0633934
10,1,0.075061336,0.046666667,0.364097,0.15300365,0.0628138,1.5707963,1.5079825,0.18,0.062551916
11,1,0.075061336,0.0557303,0.43814006,0.14933813,0.0628138,1.500915,1.5637288,0.106103,0.06874907
12,1,0.041963533,0.6269607,0.022977898,0.049763486,0.10938169,1.544852,1.4354703,0.060329914,0.036923185
13,1,0.041963533,0.0557303,0.0210511,0.18766604,0.10938169,1.500915,1.531296,0.10409576,0.030514685
14,0,0.056735374,0.85356724,0.21180807,0.008475631,0.026658237,1.5464411,1.5197828,0.03825812,0.051519457
15,0,0.056735374,0.8490683,0.20557135,0.019842518,0.026658237,1.5481979,1.5215397,0.044492632,0.051297802
16,1,0.09180084,0.6269607,0.18242545,0.008543575,0.0612633,1.544852,1.4835887,0.059527874,0.078129224
17,1,0.09180084,0.082341835,0.071562834,0.11998134,0.0612633,1.5200233,1.5603061,0.17018253,0.06907914
18,1,0.09180084,0.046666667,0.061726928,0.14727935,0.0612633,1.5707963,1.5095329,0.18,0.068276204
19,1,0.09180084,0.0557303,0.13547112,0.14377743,0.0612633,1.500915,1.5621784,0.10639417,0.07429618
20,1,0.038657837,0.6269607,0.06890831,0.02526063,0.1263422,1.544852,1.4185098,0.059853196,0.061417796
21,1,0.038657837,0.0557303,0.023082336,0.16440532,0.1263422,1.500915,1.5143355,0.1053139,0.053718638
22,0,0.4233453,0.85356724,0.010164346,0.0031345212,0.004915257,1.5464411,1.5513563,0.038160566,0.056858983
23,1,0.4233453,0.6269607,0.4685139,0.023907432,0.004915257,1.544852,1.5399368,0.05982679,0.06277053
24,0,0.4233453,0.8490683,0.003927164,0.01423903,0.004915257,1.5481979,1.5531131,0.04439767,0.05689986
25,1,0.4233453,0.082341835,0.3584247,0.1270205,0.004915257,1.5200233,1.5249386,0.16991466,0.062049046
26,1,0.4233453,0.046666667,0.34833917,0.1535726,0.004915257,1.5707963,1.565881,0.18000007,0.06198295
27,1,0.4233453,0.0557303,0.4225668,0.15563314,0.004915257,1.500915,1.5058303,0.10577333,0.06246941
