id,posnum,seglen_hor,seglen_ver,segdist_hor,segdist_ver,segdeg_hor,segdeg_ver,cross_deg,dist_hor,dist_ver
0,0,0.05110971,0.9016698,0.19491145,0.014673403,0.00742923,1.5682157,1.5659478,0.1250864,0.036992345
1,1,0.05110971,0.036666665,0.44224477,0.38184258,0.00742923,1.5707963,1.563367,0.18666667,0.033157416
2,1,0.05110971,0.036692232,0.47491586,0.38210478,0.00742923,1.5512636,1.5438343,0.15399647,0.03297538
3,1,0.05110971,0.034998387,0.48382822,0.38709304,0.00742923,1.5611827,1.568612,0.14508438,0.03292572
4,0,0.05110971,0.84998584,0.2244135,0.031190755,0.00742923,1.5683693,1.56094,0.09558516,0.037156727
5,0,0.5311958,0.9016698,0.24821785,0.013576771,0.013620815,1.5682157,1.5545949,0.12509015,0.038088974
6,1,0.5311958,0.033362076,0.014418112,0.035772968,0.013620815,1.5486397,1.5622605,0.10998523,0.04590363
7,1,0.5311958,0.86000997,0.024023904,0.038767878,0.013620815,1.5610294,1.5474086,0.07154679,0.04629633
8,1,0.5311958,0.16666667,0.038905382,0.04521832,0.013620815,1.5707963,1.5571756,0.056666672,0.04644835
9,1,0.5311958,0.2333287,0.021954551,0.24917616,0.013620815,1.568416,1.5547951,0.11752093,0.045826644
10,1,0.5311958,0.036666665,0.091106676,0.36987975,0.013620815,1.5707963,1.5571756,0.18666667,0.045120236
11,1,0.5311958,0.036692232,0.058758434,0.3696271,0.013620815,1.5512636,1.5648844,0.15432143,0.04545068
12,1,0.5311958,0.034998387,0.04935876,0.3744715,0.013620815,1.5611827,1.5475619,0.14492261,0.045546703
13,0,0.5311958,0.84998584,0.2777276,0.030559957,0.013620815,1.5683693,1.5596026,0.09558314,0.037787523
14,0,0.76896256,0.9016698,0.034895714,0.0065074563,0.018214133,1.5682157,1.5500016,0.12511449,0.045158267
15,1,0.76896256,0.033362076,0.03911775,0.026069721,0.018214133,1.5486397,1.5668538,0.11027187,0.055604495
