id,posnum,seglen_hor,seglen_ver,segdist_hor,segdist_ver,segdeg_hor,segdeg_ver,cross_deg,dist_hor,dist_ver
0,1,0.1777725,0.37517738,0.11939795,0.026846714,0.007726749,1.5443344,1.5366076,0.047283947,0.009842412
1,1,0.1777725,0.04499894,0.12177982,0.053505823,0.007726749,1.5639297,1.5699363,0.044902146,0.0098286085
2,1,0.1777725,0.06667206,0.018383184,0.10623978,0.007726749,1.5673176,1.5595908,0.1482957,0.010427792
3,1,0.1777725,0.6132573,0.02270969,0.109394036,0.007726749,1.5635831,1.5702828,0.18938732,0.010665926
4,0,0.1777725,0.29336044,0.49481332,0.11889161,0.007726749,1.5668366,1.5670294,0.16075592,0.01443196
5,0,0.1777725,0.2933438,0.46677685,0.11906345,0.007726749,1.5706757,1.5631902,0.18879157,0.014269489
6,1,0.1777725,0.14003965,0.08231013,0.42176682,0.007726749,1.5466236,1.5543504,0.08437067,0.010057336
7,1,0.1777725,0.05668663,0.019188737,0.45143804,0.007726749,1.5287608,1.5364876,0.18586648,0.010645522
8,1,0.10338765,0.37517738,0.014280137,0.00045895466,0.16587423,1.5443344,1.3784602,0.048214853,0.03622093
9,1,0.10338765,0.04499894,0.017879754,0.02755865,0.16587423,1.5639297,1.4117888,0.04466462,0.035775166
10,1,0.10338765,0.06667206,0.08737398,0.06785798,0.16587423,1.5673176,1.4014434,0.14847374,0.048809364
11,1,0.10338765,0.14003965,0.02137933,0.3911784,0.16587423,1.5466236,1.4290949,0.08338487,0.040636856
12,1,0.7691374,0.37517738,0.14454433,0.017044965,0.017786827,1.5443344,1.5265476,0.048832357,0.053718727
13,0,0.7691374,0.76847607,0.0038525425,0.007446611,0.017786827,1.5596561,1.5641497,0.041482378,0.06585532
14,1,0.7691374,0.04499894,0.14887664,0.0096724555,0.017786827,1.5639297,1.5598762,0.04450071,0.05366094
15,0,0.7691374,0.07875557,0.01110586,0.00046176597,0.017786827,1.4872211,1.4694343,0.026526343,0.06605485
16,1,0.7691374,0.06667206,0.044858307,0.06161883,0.017786827,1.5673176,1.5495307,0.14850259,0.055048477
17,1,0.7691374,0.6132573,0.0043991604,0.06447062,0.017786827,1.5635831,1.5602227,0.18895537,0.055588182
18,0,0.7691374,0.28,0.09794063,0.06706643,0.017786827,1.5707963,1.5530094,0.13555558,0.06460024
19,0,0.7691374,0.2766702,0.07226069,0.068387575,0.017786827,1.5675255,1.5497386,0.10987971,0.06494279
20,0,0.7691374,0.29336044,0.123408124,0.06906268,0.017786827,1.5668366,1.5569693,0.16101906,0.06426051
21,0,0.7691374,0.2933438,0.15119304,0.069443054,0.017786827,1.5706757,1.5531301,0.18879956,0.06388988
22,0,0.7691374,0.08839414,0.03494137,0.29211915,0.017786827,1.5399058,1.5576926,0.0026946026,0.066372804
23,1,0.7691374,0.14003965,0.11042287,0.3776374,0.017786827,1.5466236,1.5644104,0.08294839,0.05417389
24,0,0.7691374,0.18011227,0.053888418,0.39348692,0.017786827,1.5310723,1.5488591,0.09151034,0.065187864
25,1,0.7691374,0.05668663,0.010005108,0.40653044,0.017786827,1.5287608,1.5465477,0.18335027,0.0555134
26,1,0.6999143,0.37517738,0.11535027,0.08880903,0.004450234,1.5443344,1.5487846,0.051364124,0.12545766
27,0,0.6999143,0.76847607,0.0910575,0.04913425,0.004450234,1.5596561,1.555206,0.042322777,0.12243267
28,0,0.6999143,0.07875557,0.113142975,0.05603955,0.004450234,1.4872211,1.4916713,0.020237528,0.122358955
29,1,0.6999143,0.06667206,0.017885715,0.008465475,0.004450234,1.5673176,1.5698249,0.14882773,0.12513235
30,1,0.6999143,0.6132573,0.02157465,0.0049436586,0.004450234,1.5635831,1.5591329,0.18828768,0.12500066
31,0,0.6999143,0.28,0.0021762045,0.008922818,0.004450234,1.5707963,1.5663463,0.13555557,0.122743845
32,0,0.6999143,0.2766702,0.023751609,0.010672741,0.004450234,1.5675255,1.569617,0.10962801,0.12265732
33,0,0.6999143,0.29336044,0.027949173,0.010492865,0.004450234,1.5668366,1.5623864,0.16132827,0.12282987
34,0,0.6999143,0.2933438,0.055430204,0.010411339,0.004450234,1.5706757,1.5662255,0.18880904,0.1229216
35,0,0.6999143,0.043448426,0.13154545,0.37967205,0.004450234,1.4696398,1.4651896,0.0018352254,0.122297525
36,0,0.6999143,0.08839414,0.1283815,0.23615715,0.004450234,1.5399058,1.5354556,0.0049991524,0.1223081
37,1,0.6999143,0.14003965,0.08606035,0.30643055,0.004450234,1.5466236,1.5421734,0.08065373,0.1253599
38,1,0.6999143,0.42028895,0.116750695,0.4479208,0.004450234,1.5427004,1.5471506,0.049963713,0.12546232
39,0,0.6999143,0.18011227,0.038826596,0.33602244,0.004450234,1.5310723,1.526622,0.09455317,0.122607
40,1,0.6999143,0.05668663,0.012738571,0.33695224,0.004450234,1.5287608,1.5243106,0.1794517,0.12503013
41,0,0.6999143,0.035140764,0.03245035,0.47625503,0.004450234,1.4441713,1.4486215,0.10092936,0.12262828
42,0,0.6999143,0.14505695,0.017457364,0.46054897,0.004450234,1.5631791,1.5676293,0.15083657,0.12279485
43,0,0.6999143,0.1450208,0.0389702,0.46046656,0.004450234,1.5706857,1.5664568,0.1723492,0.12286665
44,1,0.6999143,0.041696064,0.029888535,0.4773906,0.004450234,1.5170902,1.51264,0.19660151,0.1249729
45,1,0.18220474,0.37517738,0.41177294,0.12636657,0.005935863,1.5443344,1.5502703,0.052689075,0.16300206
46,0,0.18220474,0.76847607,0.31048357,0.08567934,0.005935863,1.5596561,1.5537202,0.0428656,0.15897548
