id,posnum,seglen_hor,seglen_ver,segdist_hor,segdist_ver,segdeg_hor,segdeg_ver,cross_deg,dist_hor,dist_ver
0,1,0.13009587,0.060092196,0.10191996,0.049110595,0.15135306,1.5120165,1.3606634,0.05463773,0.009276366
1,1,0.13009587,0.058457192,0.10164644,0.10899416,0.15135306,1.5438287,1.3924756,0.054908097,0.0093072895
2,1,0.13009587,0.7033411,0.0874539,0.25409332,0.15135306,1.565326,1.4249136,0.068938375,0.01091221
3,0,0.57106054,0.91006356,0.07328432,0.016871758,0.00979045,1.5616117,1.5701907,0.06900508,0.028113715
4,0,0.57106054,0.101665944,0.0665644,0.0218363,0.00979045,1.5669931,1.5572027,0.075724676,0.028163059
5,1,0.57106054,0.060092196,0.23007226,0.023808943,0.00979045,1.5120165,1.521807,0.056619644,0.034534313
6,1,0.57106054,0.058457192,0.23087628,0.083752066,0.00979045,1.5438287,1.5536191,0.055815697,0.03454022
7,1,0.57106054,0.7033411,0.21792454,0.23056008,0.00979045,1.565326,1.5555356,0.06876683,0.034445122
8,0,0.57106054,0.22005467,0.04536813,0.39692965,0.00979045,1.5389879,1.5487783,0.09691993,0.028318698
9,1,0.19585587,0.060092196,0.057310164,0.029664965,0.06918619,1.5120165,1.4428303,0.056160867,0.028688408
10,1,0.19585587,0.058457192,0.057868276,0.089634955,0.06918619,1.5438287,1.4746425,0.0556041,0.02865947
11,1,0.19585587,0.7033411,0.04463682,0.23565976,0.06918619,1.565326,1.5070806,0.06880391,0.029345503
12,0,0.5711792,0.91006356,0.04893586,0.001281147,0.01347202,1.5616117,1.5481397,0.06881414,0.043703668
13,0,0.5711792,0.101665944,0.04194624,0.0063661975,0.01347202,1.5669931,1.5611277,0.07580313,0.043633047
14,1,0.5711792,0.060092196,0.25450444,0.02347591,0.01347202,1.5120165,1.4985446,0.05664575,0.034866773
15,1,0.5711792,0.058457192,0.25532314,0.083433665,0.01347202,1.5438287,1.5303568,0.05582714,0.0348585
16,1,0.5711792,0.7033411,0.24238628,0.23001595,0.01347202,1.565326,1.5627948,0.06876284,0.034989208
17,0,0.5711792,0.22005467,0.02146853,0.38181454,0.01347202,1.5389879,1.5255159,0.09627898,0.04342615
18,0,0.06237178,0.91006356,0.25168294,0.005912477,0.054325264,1.5616117,1.5256559,0.06872606,0.050896987
19,0,0.06237178,0.101665944,0.24455705,0.0011879911,0.054325264,1.5669931,1.5126679,0.075841434,0.05118718
20,0,0.06237178,0.22005467,0.22445387,0.37323052,0.054325264,1.5389879,1.5482796,0.09591497,0.052005865
21,0,0.10088485,0.91006356,0.40794882,0.026320914,0.13121583,1.5616117,1.4487653,0.06912076,0.018664958
22,0,0.10088485,0.101665944,0.40133289,0.030685244,0.13121583,1.5669931,1.4357773,0.07567983,0.019314177
23,1,0.10088485,0.060092196,0.36745715,0.04643316,0.13121583,1.5120165,1.4983604,0.06212145,0.10465512
24,1,0.10088485,0.058457192,0.37126043,0.0132383155,0.13121583,1.5438287,1.4665482,0.0583508,0.10502833
25,1,0.10088485,0.7033411,0.36126634,0.16095652,0.13121583,1.565326,1.4341102,0.068259,0.10404761
26,0,0.10088485,0.22005467,0.37961447,0.40380645,0.13121583,1.5389879,1.471389,0.09721154,0.021445401
27,0,0.046703327,0.91006356,0.301004,0.068174206,0.021218985,1.5616117,1.5587621,0.06796359,0.11315609
28,0,0.046703327,0.101665944,0.29280937,0.06328775,0.021218985,1.5669931,1.5457741,0.07615638,0.11328649
29,0,0.046703327,0.22005467,0.27565837,0.3116458,0.021218985,1.5389879,1.5602069,0.09330351,0.11355942
30,2,0.044626463,0.91006356,0.23708789,0.088110715,0.05752636,1.5616117,1.5040853,0.058732826,0.13309711
31,2,0.044626463,0.22005467,0.2344691,0.22191127,0.05752636,1.5389879,1.4814615,0.061347302,0.13321006
32,2,0.044626463,0.060189445,0.14567746,0.29172245,0.05752636,1.5124513,1.454925,0.14999205,0.13703889
33,2,0.044626463,0.056756463,0.22569312,0.044813704,0.05752636,1.5289785,1.5550879,0.070108764,0.13358843
34,2,0.8914171,0.91006356,0.00015456114,0.008349351,0.015992187,1.5616117,1.5639889,0.057551555,0.03664112
35,3,0.8914171,0.7033411,0.010924926,0.005588768,0.015992187,1.565326,1.5493338,0.061914325,0.026078999
36,2,0.8914171,0.22005467,0.00045569055,0.3185254,0.015992187,1.5389879,1.55498,0.057250462,0.036644816
37,2,0.8914171,0.060189445,0.08439863,0.39330712,0.015992187,1.5124513,1.5284435,0.14209393,0.035627007
38,2,0.8914171,0.056756463,0.017825622,0.14206171,0.015992187,1.5289785,1.5129863,0.07552944,0.03642547
