id,posnum,seglen_hor,seglen_ver,segdist_hor,segdist_ver,segdeg_hor,segdeg_ver,cross_deg,dist_hor,dist_ver
0,1,0.18851157,0.7890367,0.02897289,0.15251207,0.04681836,1.5592597,1.5124413,0.044303596,0.0030467913
1,1,0.18851157,0.05113079,0.04525589,0.19011012,0.04681836,1.5607877,1.5139693,0.11845106,0.0076787947
2,1,0.035355315,0.7890367,0.2729406,0.08314627,0.14228806,1.5592597,1.440045,0.044903755,0.072407976
3,1,0.035355315,0.05113079,0.19825877,0.13949908,0.14228806,1.5607877,1.438517,0.11883086,0.0582873
4,1,0.034991022,0.7890367,0.3307242,0.14567189,0.02265429,1.5592597,1.5366054,0.044362783,0.009886504
5,0,0.034991022,0.11335509,0.44570166,0.14116395,0.02265429,1.5517521,1.5290978,0.1444285,0.03439384
6,1,0.034991022,0.05113079,0.25658357,0.18566291,0.02265429,1.5607877,1.5381334,0.11848438,0.0121257845
7,0,0.034991022,0.046798494,0.46045813,0.19192666,0.02265429,1.5340296,1.5113753,0.12967585,0.03483953
8,0,0.034991022,0.055585664,0.44311136,0.26624689,0.02265429,1.5081098,1.5307641,0.14701818,0.0343156
9,0,0.034991022,0.58890855,0.48408788,0.2800268,0.02265429,1.5608885,1.5580499,0.106052145,0.03555322
10,0,0.034991022,0.11779714,0.4322457,0.3971391,0.02265429,1.5571392,1.5344849,0.15788107,0.033987425
11,0,0.034991022,0.047124993,0.41164452,0.30208978,0.02265429,1.4545058,1.4318515,0.17847691,0.033365205
12,0,0.034991022,0.062252786,0.49917603,0.3578328,0.02265429,1.5180072,1.4953529,0.090967864,0.03600893
13,0,0.034991022,0.051297642,0.43323055,0.36249754,0.02265429,1.4997911,1.5224454,0.15689646,0.034017168
14,0,0.034991022,0.124455765,0.44603032,0.42338708,0.02265429,1.5646317,1.5543067,0.14409994,0.034403764
15,0,0.16363373,0.2402431,0.24797045,0.08832564,0.053009015,1.5353101,1.4823011,0.047321193,0.06276081
16,0,0.16363373,0.11335509,0.15103436,0.11964116,0.053009015,1.5517521,1.498743,0.14412113,0.055912703
17,1,0.16363373,0.05113079,0.42382658,0.1940478,0.053009015,1.5607877,1.5077786,0.118421555,0.0037413195
18,0,0.16363373,0.046798494,0.16611153,0.16977337,0.053009015,1.5340296,1.4810206,0.12906514,0.056977835
19,0,0.16363373,0.055585664,0.14712815,0.24488378,0.053009015,1.5081098,1.5611188,0.14802185,0.055636745
20,0,0.16363373,0.58890855,0.18898538,0.2569851,0.053009015,1.5608885,1.5276952,0.10622341,0.058593776
21,0,0.16363373,0.11779714,0.13747019,0.3761701,0.053009015,1.5571392,1.5041301,0.15766625,0.054954454
22,0,0.16363373,0.047124993,0.11840622,0.28170967,0.053009015,1.4545058,1.4014968,0.17670344,0.05360767
23,0,0.16363373,0.04665544,0.23699221,0.33135527,0.053009015,1.5659935,1.5225902,0.058284022,0.061985243
24,0,0.16363373,0.062252786,0.2052041,0.33406904,0.053009015,1.5180072,1.4649981,0.09002748,0.059739552
25,0,0.16363373,0.051297642,0.13712388,0.34153187,0.053009015,1.4997911,1.5528002,0.15801208,0.054929987
26,0,0.16363373,0.45119822,0.26372966,0.33401927,0.053009015,1.549652,1.5389317,0.031584144,0.063874125
27,0,0.16363373,0.124455765,0.15095608,0.40188324,0.053009015,1.5646317,1.523952,0.1441993,0.055907175
28,0,0.16363373,0.046632037,0.18892334,0.49290705,0.053009015,1.5322473,1.4792383,0.10628536,0.05858939
29,0,0.9016971,0.2402431,0.0032128606,0.005239166,0.0051785526,1.5353101,1.5301316,0.045110345,0.14579499
30,1,0.9016971,0.7890367,0.0045074048,0.016034035,0.0051785526,1.5592597,1.5540811,0.045484543,0.13951574
31,0,0.9016971,0.11335509,0.09452491,0.030417554,0.0051785526,1.5517521,1.5465735,0.14284681,0.14512014
32,1,0.9016971,0.05113079,0.06945345,0.05775588,0.0051785526,1.5607877,1.5556091,0.11944437,0.14002642
33,0,0.9016971,0.046798494,0.078308314,0.08145944,0.0051785526,1.5340296,1.528851,0.12663043,0.1452321
34,0,0.9016971,0.055585664,0.103909604,0.15528922,0.0051785526,1.5081098,1.5132884,0.15223137,0.14505534
35,0,0.9016971,0.58890855,0.05854586,0.17020604,0.0051785526,1.5608885,1.5660671,0.10686824,0.14536856
36,0,0.9016971,0.11779714,0.108421914,0.286092,0.0051785526,1.5571392,1.5519606,0.15674362,0.1450242
37,0,0.9016971,0.047124993,0.12037984,0.18975464,0.0051785526,1.4545058,1.4493272,0.1687014,0.14494163
38,0,0.9016971,0.04665544,0.010262525,0.24763758,0.0051785526,1.5659935,1.5704206,0.058585547,0.14570196
39,0,0.9016971,0.062252786,0.038305935,0.24818064,0.0051785526,1.5180072,1.5128286,0.086628586,0.14550832
40,0,0.9016971,0.051297642,0.114494175,0.2512521,0.0051785526,1.4997911,1.5049697,0.1628158,0.14498226
41,0,0.9016971,0.45119822,0.015438566,0.25199565,0.0051785526,1.549652,1.5548306,0.032884803,0.1458794
42,0,0.9016971,0.124455765,0.09628984,0.31268075,0.0051785526,1.5646317,1.5698103,0.14461172,0.14510795
43,0,0.9016971,0.046632037,0.05545214,0.40604195,0.0051785526,1.5322473,1.5270687,0.103774555,0.14538993
44,0,0.9016971,0.04448247,0.074415796,0.4539753,0.0051785526,1.4928279,1.4980065,0.12273796,0.145259
45,2,0.03681284,0.04665544,0.009694525,0.4656279,0.07413425,1.5659935,1.4918593,0.06132274,0.09438586
46,2,0.03681284,0.062252786,0.0048840134,0.450257,0.07413425,1.5180072,1.5494514,0.05652544,0.09486091
47,2,0.03681284,0.45119822,0.0067645377,0.055084944,0.07413425,1.549652,1.4755177,0.044908885,0.09601128
48,2,0.03681284,0.05367405,0.003635023,0.00033458782,0.07413425,1.4990344,1.4249002,0.048029803,0.09570217
49,2,0.03681284,0.046632037,0.030153694,0.31013742,0.07413425,1.5322473,1.5352112,0.08172571,0.092365384
50,3,0.043352906,0.7890367,0.043236114,0.08108131,0.014435837,1.5592597,1.5678972,0.051748633,0.13654304
51,3,0.043352906,0.20897627,0.027453931,0.054732807,0.014435837,1.5598853,1.5672716,0.0675292,0.13684678
