id,posnum,seglen_hor,seglen_ver,segdist_hor,segdist_ver,segdeg_hor,segdeg_ver,cross_deg,dist_hor,dist_ver
0,0,0.63555866,0.78854597,0.029878097,0.0032310672,0.0050430796,1.5464216,1.5413786,0.07012072,0.13011943
1,1,0.63555866,0.7666761,0.09691889,0.0053325947,0.0050430796,1.5674546,1.5624115,0.16753328,0.13300288
2,1,0.63555866,0.041665778,0.18269947,0.033336345,0.0050430796,1.5642654,1.5592223,0.08175379,0.13332732
3,0,0.63555866,0.035305172,0.020210776,0.15377037,0.0050430796,1.4821833,1.4771403,0.07978792,0.13015598
4,0,0.63555866,0.035035253,0.041601025,0.26975375,0.0050430796,1.5390984,1.5340554,0.14159894,0.13038978
5,0,0.63555866,0.050024915,0.0865045,0.27948475,0.0050430796,1.5481428,1.5430998,0.18650183,0.13055962
6,0,0.63555866,0.0900945,0.04014584,0.4298649,0.0050430796,1.5387385,1.5336955,0.14014377,0.13038427
7,0,0.63555866,0.03346274,0.053257175,0.4718986,0.0050430796,1.5180141,1.512971,0.15325494,0.13043386
8,1,0.09592981,0.7666761,0.0010747594,0.004170187,0.06451276,1.5674546,1.5029418,0.16752821,0.13416529
9,1,0.09592981,0.041665778,0.084922,0.028340232,0.06451276,1.5642654,1.4997526,0.08171034,0.13832332
10,0,0.17333044,0.78854597,0.15863258,0.0010585493,0.0030798025,1.5464216,1.5433419,0.07026009,0.13440777
11,1,0.17333044,0.7666761,0.4302614,0.0021670777,0.0030798025,1.5674546,1.5643748,0.16751915,0.13616838
12,0,0.17333044,0.035305172,0.14859825,0.14947857,0.0030798025,1.4821833,1.4791036,0.08029434,0.13443094
13,0,0.17333044,0.035035253,0.08711653,0.26556844,0.0030798025,1.5390984,1.5360186,0.14177579,0.13457295
14,0,0.17333044,0.050024915,0.042265926,0.27536678,0.0030798025,1.5481428,1.545063,0.18662618,0.13467655
15,0,0.17333044,0.0900945,0.088569604,0.42567745,0.0030798025,1.5387385,1.5356587,0.14032273,0.1345696
16,0,0.17333044,0.03346274,0.07534385,0.4677265,0.0030798025,1.5180141,1.5149343,0.15354842,0.13460016
17,0,0.055940032,0.78854597,0.21709849,0.008275685,0.09698428,1.5464216,1.4494374,0.07049464,0.14162277
18,1,0.055940032,0.7666761,0.49281868,0.058907438,0.09698428,1.5674546,1.4704703,0.16724718,0.19724256
19,0,0.055940032,0.035305172,0.20630328,0.14147136,0.09698428,1.4821833,1.3851991,0.08123911,0.14240676
20,0,0.055940032,0.035035253,0.1449588,0.25327337,0.09698428,1.5390984,1.4421141,0.14229532,0.14686185
21,0,0.055940032,0.050024915,0.09994954,0.25990874,0.09698428,1.5481428,1.4511585,0.18709306,0.15013061
22,0,0.055940032,0.0900945,0.14641717,0.41348484,0.09698428,1.5387385,1.4417542,0.1408438,0.14675595
23,0,0.055940032,0.03346274,0.13272187,0.45455775,0.09698428,1.5180141,1.4210298,0.15447474,0.14775056
24,0,0.04666664,0.78854597,0.25526607,0.03616446,0.0005645756,1.5464216,1.5458571,0.071400926,0.16950326
25,1,0.04666664,0.7666761,0.4592971,0.03149031,0.0005645756,1.5674546,1.56689,0.16736937,0.16982558
26,0,0.04666664,0.035305172,0.24221732,0.11426258,0.0005645756,1.4821833,1.4816188,0.084449686,0.16950877
27,0,0.04666664,0.035035253,0.18341313,0.23059016,0.0005645756,1.5390984,1.5385338,0.14325385,0.16953367
28,0,0.04666664,0.050024915,0.13898721,0.24048187,0.0005645756,1.5481428,1.5475782,0.18767978,0.16955249
29,0,0.04666664,0.0900945,0.18484929,0.39069602,0.0005645756,1.5387385,1.5381739,0.14181772,0.16953307
30,0,0.04666664,0.03346274,0.17065741,0.43273884,0.0005645756,1.5180141,1.5174495,0.15600958,0.16953906
31,0,0.04666664,0.036654223,0.14630988,0.49046376,0.0005645756,1.5638608,1.5644253,0.18035711,0.16954938
32,2,0.7247123,0.78854597,0.0019463354,0.001917277,0.03235411,1.5464216,1.562817,0.09591289,0.076422036
33,3,0.7247123,0.7666761,0.013725104,0.000608117,0.03235411,1.5674546,1.541784,0.16409087,0.09438455
34,2,0.7247123,0.035035253,0.07723433,0.48687592,0.03235411,1.5390984,1.5701402,0.17505212,0.078342974
35,2,0.7247123,0.0900945,0.07616009,0.27174613,0.03235411,1.5387385,1.5705001,0.17397845,0.07831693
36,2,0.7247123,0.036654223,0.07558304,0.22504778,0.03235411,1.5638608,1.5315067,0.1734017,0.07830292
