,id,seglen_hor,seglen_ver,segdist_hor,segdist_ver,cross_deg,segdeg_hor,segdeg_ver,dist_hor,dist_ver
0,0,0.050233297,0.06222106,0.49987,0.14202109,1.4397128,0.124979995,1.5646927,0.13417661,0.095760904
1,1,0.21523282,0.627233,0.13097997,0.1268006,1.5650914,0.035299126,1.5297922,0.14242919,0.019892287
2,2,0.21523282,0.064434,0.40915403,0.1534916,1.517492,0.035299126,1.5527912,0.102674544,0.055436622
3,3,0.21523282,0.06222106,0.37744075,0.18383843,1.5293936,0.035299126,1.5646927,0.13436806,0.053944338
4,4,0.21523282,0.5180801,0.41619697,0.21993123,1.5665693,0.035299126,1.5397242,0.09563601,0.055768035
5,5,0.095345646,0.064434,0.2779416,0.14971547,1.4853315,0.06745972,1.5527912,0.10262352,0.05921215
6,6,0.095345646,0.06222106,0.24613576,0.18142922,1.497233,0.06745972,1.5646927,0.13435698,0.0563535
7,7,0.095345646,0.5180801,0.28485003,0.21586424,1.5344088,0.06745972,1.5397242,0.09573078,0.05983307
8,8,0.14175004,0.064434,0.102201305,0.16401857,1.5258094,0.02698185,1.5527912,0.10281664,0.044911347
9,9,0.14175004,0.06222106,0.07059179,0.19400866,1.5377109,0.02698185,1.5646927,0.13441467,0.043774303
10,10,0.14175004,0.5180801,0.10963147,0.23052578,1.5667061,0.02698185,1.5397242,0.09538919,0.045178622
11,11,0.07174192,0.627233,0.051983345,0.10889794,1.5574584,0.054342117,1.5297922,0.14187878,0.037779897
12,12,0.06332242,0.627233,0.31538823,0.092063844,1.5483501,0.018557897,1.5297922,0.14136119,0.054599836
13,13,0.06332242,0.064434,0.37762535,0.13561188,1.5342333,0.018557897,1.5527912,0.102433085,0.07331344
14,14,0.06332242,0.06222106,0.34576988,0.16525716,1.5461348,0.018557897,1.5646927,0.13428307,0.07252526
15,15,0.06332242,0.5180801,0.38401082,0.20221929,1.5582821,0.018557897,1.5397242,0.09604871,0.073471434
16,16,0.055023707,0.627233,0.11700979,0.09109305,1.5069935,0.022798605,1.5297922,0.14133137,0.055569824
17,17,0.036633078,0.627233,0.18851106,0.10272427,1.5689981,0.042802453,1.5297922,0.14168897,0.043948382
18,18,0.036633078,0.06222106,0.49960613,0.1524849,1.5218903,0.042802453,1.5646927,0.13422453,0.08529729
19,19,0.058711942,0.627233,0.27228615,0.041626174,1.4099075,0.11988469,1.5297922,0.13981053,0.10499512
20,20,0.04361895,0.064434,0.027487434,0.14619318,1.4472878,0.10550343,1.5527912,0.10257602,0.06273386
21,21,0.04361895,0.06222106,0.004462578,0.17953496,1.4591893,0.10550343,1.5646927,0.13434833,0.05824774
22,22,0.04361895,0.5180801,0.034280576,0.21200775,1.4963651,0.10550343,1.5397242,0.095820606,0.06368768
23,23,0.056817252,0.627233,0.26379088,0.09251613,1.5683355,0.038543347,1.5297922,0.14137515,0.05414794
24,24,0.056817252,0.064434,0.4364124,0.11587967,1.5142479,0.038543347,1.5527912,0.10216653,0.09304245
25,25,0.056817252,0.06222106,0.4043586,0.1463865,1.5261494,0.038543347,1.5646927,0.13419658,0.09139558
26,26,0.056817252,0.5180801,0.44207153,0.18234792,1.5633252,0.038543347,1.5397242,0.09651166,0.09333321
27,27,0.043461185,0.627233,0.10049959,0.03944569,1.4503903,0.07940182,1.5297922,0.1397435,0.10717377
28,28,0.035025824,0.064434,0.22461247,0.15919851,1.5131099,0.07569152,1.5527912,0.10275167,0.049730632
29,29,0.035025824,0.06222106,0.19290061,0.18485479,1.5012085,0.07569152,1.5646927,0.13437277,0.05292801
30,30,0.035025824,0.5180801,0.23190694,0.22670735,1.4640326,0.07569152,1.5397242,0.09547812,0.048995167
31,31,0.0334124,0.627233,0.23578122,0.07896935,1.5572996,0.02750743,1.5297922,0.14095865,0.06768333
32,32,0.0334124,0.064434,0.48800018,0.11347063,1.5252838,0.02750743,1.5527912,0.10213399,0.0954511
33,33,0.0334124,0.06222106,0.45593858,0.14350668,1.5371853,0.02750743,1.5646927,0.13418347,0.09427534
34,34,0.0334124,0.5180801,0.49357042,0.18002464,1.5672317,0.02750743,1.5397242,0.09656584,0.095655374
35,35,0.033373028,0.064434,0.2242961,0.14212176,1.5497024,0.039099146,1.5527912,0.10252094,0.0668046
36,36,0.033373028,0.06222106,0.19249107,0.16932027,1.5378009,0.039099146,1.5646927,0.13430166,0.06846224
37,37,0.033373028,0.5180801,0.23093688,0.20923562,1.5006251,0.039099146,1.5397242,0.09588522,0.066458486
38,38,0.035158012,0.627233,0.24873751,0.01878426,1.4302595,0.099532664,1.5297922,0.13910827,0.12781784
39,39,0.035158012,0.064434,0.4777057,0.18202049,1.4892688,0.099532664,1.5527912,0.10305989,0.026912367
40,40,0.035158012,0.06222106,0.44613668,0.20668821,1.4773674,0.099532664,1.5646927,0.13447267,0.031094993
